layer_name,n_tokens,latency_us
total_block,1,1205.86
self_attn,1,526.11
mlp,1,509.5
input_layernorm,1,125.34
post_attention_layernorm,1,96.83
total_block,2,1240.7
self_attn,2,529.63
mlp,2,554.4
input_layernorm,2,94.94
post_attention_layernorm,2,95.33
total_block,3,1355.14
self_attn,3,529.28
mlp,3,585.79
input_layernorm,3,96.67
post_attention_layernorm,3,94.88
total_block,4,1298.24
self_attn,4,530.91
mlp,4,629.31
input_layernorm,4,93.95
post_attention_layernorm,4,94.59
total_block,5,1368.29
self_attn,5,526.21
mlp,5,696.54
input_layernorm,5,96.19
post_attention_layernorm,5,95.26
total_block,6,1327.87
self_attn,6,527.74
mlp,6,655.39
input_layernorm,6,95.81
post_attention_layernorm,6,95.17
total_block,7,1439.71
self_attn,7,527.23
mlp,7,769.25
input_layernorm,7,96.48
post_attention_layernorm,7,95.3
total_block,8,1307.36
self_attn,8,536.51
mlp,8,636.35
input_layernorm,8,94.08
post_attention_layernorm,8,95.46
total_block,9,1435.26
self_attn,9,531.42
mlp,9,765.98
input_layernorm,9,94.94
post_attention_layernorm,9,94.88
total_block,10,1449.82
self_attn,10,530.3
mlp,10,774.46
input_layernorm,10,94.14
post_attention_layernorm,10,94.72
total_block,11,1433.22
self_attn,11,537.79
mlp,11,761.31
input_layernorm,11,98.05
post_attention_layernorm,11,97.15
total_block,12,1437.89
self_attn,12,523.87
mlp,12,753.82
input_layernorm,12,95.65
post_attention_layernorm,12,96.86
total_block,13,1490.27
self_attn,13,629.41
mlp,13,812.74
input_layernorm,13,96.35
post_attention_layernorm,13,95.04
total_block,14,1448.67
self_attn,14,527.46
mlp,14,773.76
input_layernorm,14,96.03
post_attention_layernorm,14,95.49
total_block,15,1478.02
self_attn,15,523.49
mlp,15,801.89
input_layernorm,15,95.42
post_attention_layernorm,15,95.14
total_block,16,1541.02
self_attn,16,542.21
mlp,16,853.09
input_layernorm,16,96.99
post_attention_layernorm,16,97.79
total_block,32,1616.29
self_attn,32,533.47
mlp,32,935.04
input_layernorm,32,96.96
post_attention_layernorm,32,96.7
total_block,64,1673.95
self_attn,64,529.63
mlp,64,997.28
input_layernorm,64,96.03
post_attention_layernorm,64,96.61
total_block,128,1721.5
self_attn,128,536.74
mlp,128,1044.58
input_layernorm,128,97.09
post_attention_layernorm,128,94.88
total_block,256,1764.29
self_attn,256,524.22
mlp,256,1091.74
input_layernorm,256,96.38
post_attention_layernorm,256,95.65
