q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,latency_us
1,1,10,2,128,1,6633.44
1,1,32,4,128,1,374.32
1,128,4,1,128,256,186.21
1,128,5,1,128,64,228.28
1,128,8,1,128,1,189.63
1,128,10,2,128,16,13.3
1,128,20,4,128,32,358.53
1,128,32,4,128,2,69.19
1,128,64,8,64,1,96.16
1,256,16,4,128,8,708.49
1,256,16,8,256,256,371.57
1,256,40,8,128,4,61.73
1,256,56,8,128,1,18.09
1,512,5,1,128,8,365.7
1,512,5,1,128,64,11588.93
1,512,8,1,64,128,166.35
1,512,8,1,128,4,9439.53
1,512,8,2,128,2,97.41
1,512,8,2,128,4,138.56
1,512,32,4,128,1,17.26
1,1024,16,4,128,4,372.52
1,2048,8,1,128,128,64.52
1,2048,8,2,128,1,2400.0
1,2048,14,2,128,4,43.55
1,2048,28,4,128,1,27.44
1,2048,32,8,128,256,85.42
1,2048,64,8,128,1,13.05
1,4096,10,2,128,128,187.28
1,4096,16,4,128,2,14.2
1,4096,16,8,256,4,109.58
1,4096,20,4,128,32,694.04
1,4096,64,8,128,1,370.96
1,8192,5,1,128,32,25.05
1,8192,8,1,128,8,426.34
1,8192,14,2,128,2,178.54
1,16384,4,2,256,32,40.45
1,16384,10,2,128,16,101.58
1,32768,4,1,128,16,211.49
1,32768,8,1,64,8,357.3
1,32768,8,2,128,8,1647.91
2,2,32,4,128,1,6060.0
8,1024,8,1,64,1,17.23
8,4096,8,1,128,1,849.51
8,4096,20,4,128,1,1403.45
8,4096,32,8,128,1,10.18
8,8192,10,2,128,1,35.47
8,16384,32,4,64,1,17.89
8,32768,64,8,64,1,88.69
16,16,2,1,256,1,36.81
16,16,8,1,128,1,119.48
16,16,16,4,128,1,59.94
32,32,16,2,128,1,101.57
32,128,32,8,128,1,12.35
32,512,4,1,128,1,720.83
32,512,20,4,128,1,39.23
32,512,28,4,128,1,17.48
32,1024,2,1,256,1,186.42
32,1024,10,2,128,1,11.74
32,1024,16,4,128,1,778.75
32,2048,28,4,128,1,1161.09
32,4096,8,4,256,1,187.08
32,16384,16,8,256,1,1296.35
32,32768,5,1,128,1,3271.93
32,32768,8,1,64,1,13.3
32,32768,32,4,128,1,841.25
32,32768,32,8,128,1,34.66
32,32768,40,8,128,1,76.06
32,32768,64,8,64,1,66.62
64,64,2,1,256,1,11504.35
64,64,8,2,128,1,14.53
64,64,32,4,128,1,40.62
64,64,32,8,128,1,1392.65
128,128,40,8,128,1,1419.3
128,128,64,8,64,1,10.5
128,256,32,8,128,1,36.37
128,512,8,4,256,1,932.57
128,512,10,2,128,1,39.21
128,1024,2,1,256,1,16.08
128,1024,32,4,64,1,1535.38
128,2048,8,1,128,1,174.34
128,2048,14,2,128,1,1690.73
128,2048,16,2,128,1,121.96
128,4096,16,2,128,1,11.01
128,4096,16,4,128,1,1024.17
128,4096,56,8,128,1,862.38
128,8192,4,2,256,1,56.61
128,8192,5,1,128,1,295.62
128,8192,16,8,256,1,25.66
128,8192,20,4,128,1,145.68
128,8192,56,8,128,1,138.71
128,8192,64,8,64,1,3080.0
128,8192,64,8,128,1,456.72
128,16384,4,1,128,1,1389.86
128,16384,8,1,128,1,120.09
128,32768,5,1,128,1,14.12
128,32768,16,2,64,1,2965.28
128,32768,20,4,128,1,345.57
128,32768,32,4,64,1,38.13
128,32768,32,4,128,1,60.15
256,256,7,1,128,1,112.16
256,256,40,8,128,1,439.81
512,512,2,1,256,1,142.11
512,512,64,8,64,1,208.6
512,1024,16,2,64,1,18.32
512,1024,40,8,128,1,39.8
512,1024,56,8,128,1,24.03
512,1024,64,8,64,1,26.83
512,2048,5,1,128,1,703.7
512,2048,32,8,128,1,709.76
512,2048,64,8,64,1,569.01
512,4096,14,2,128,1,161.49
512,4096,16,2,64,1,56.35
512,8192,2,1,256,1,371.73
512,8192,5,1,128,1,205.97
512,8192,10,2,128,1,2440.0
512,8192,16,2,128,1,846.24
512,16384,7,1,128,1,10.13
512,16384,20,4,128,1,769.22
512,16384,32,4,64,1,1373.42
512,16384,40,8,128,1,62.29
512,32768,4,1,128,1,120.32
512,32768,7,1,128,1,28.8
512,32768,16,8,256,1,703.44
1024,1024,4,1,128,1,16.84
1024,1024,8,1,64,1,450.99
1024,1024,8,1,128,1,699.25
1024,1024,10,2,128,1,1398.68
1024,1024,40,8,128,1,65.71
1024,1024,56,8,128,1,47.62
1024,2048,8,1,64,1,4075.0
1024,2048,32,4,128,1,10231.4
1024,4096,5,1,128,1,3494.18
1024,4096,8,2,128,1,1298.51
1024,4096,32,8,128,1,9.41
1024,8192,4,2,256,1,15.6
1024,8192,20,4,128,1,46.12
1024,16384,8,4,256,1,16.35
1024,16384,10,2,128,1,970.74
1024,32768,2,1,256,1,3629.26
1024,32768,5,1,128,1,375.89
1024,32768,8,1,64,1,105.5
1024,32768,16,2,128,1,180.72
1024,32768,64,8,128,1,39.01
2048,2048,4,2,256,1,57.02
2048,2048,5,1,128,1,446.01
2048,2048,8,2,128,1,373.75
4096,4096,4,1,128,1,10.99
4096,4096,8,1,64,1,41.45
4096,4096,16,4,128,1,16.2
4096,4096,16,8,256,1,10414.85
4096,4096,20,4,128,1,435.44
4096,4096,32,8,128,1,94.18
8192,8192,16,2,64,1,59.7
8192,8192,20,4,128,1,24.49
8192,8192,32,4,64,1,25.54
8192,8192,56,8,128,1,1529.4
