phase,q_len,kv_len,batch,n_heads,n_kv_heads,head_dim,causal,source
prefill,128,128,1,2,1,256,1,Gemma-2-9B/tp8
prefill,256,256,1,2,1,256,1,Gemma-2-9B/tp8
prefill,512,512,1,2,1,256,1,Gemma-2-9B/tp8
prefill,1024,1024,1,2,1,256,1,Gemma-2-9B/tp8
prefill,2048,2048,1,2,1,256,1,Gemma-2-9B/tp8
prefill,4096,4096,1,2,1,256,1,Gemma-2-9B/tp8
prefill,8192,8192,1,2,1,256,1,Gemma-2-9B/tp8
prefill,16384,16384,1,2,1,256,1,Gemma-2-9B/tp8
prefill,32768,32768,1,2,1,256,1,Gemma-2-9B/tp8
prefill,65536,65536,1,2,1,256,1,Gemma-2-9B/tp8
prefill,131072,131072,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,128,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,128,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,128,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,128,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,256,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,256,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,256,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,256,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,512,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,512,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,512,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,512,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,1024,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,1024,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,1024,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,1024,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,2048,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,2048,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,2048,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,2048,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,4096,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,4096,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,4096,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,4096,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,8192,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,8192,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,8192,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,8192,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,16384,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,16384,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,16384,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,16384,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,32768,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,32768,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,32768,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,32768,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,65536,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,65536,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,65536,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,65536,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,131072,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,131072,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,131072,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,1,131072,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,128,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,128,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,128,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,128,8,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,256,1,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,256,2,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,256,4,2,1,256,1,Gemma-2-9B/tp8
cached_prefill,2,256,8,2,1,256,1,Gemma-2-9B/tp8
