batch_size,seq_len,n_heads,head_dim,latency_ns
1,128,8,128,31744.00
1,128,16,128,30720.00
1,128,32,128,30720.00
1,128,40,128,31744.00
1,128,64,128,31744.00
1,256,8,128,37888.00
1,256,16,128,37888.00
1,256,32,128,31744.00
1,256,40,128,32768.00
1,256,64,128,40960.00
1,512,8,128,43008.00
1,512,16,128,60416.00
1,512,32,128,58368.00
1,512,40,128,58368.00
1,512,64,128,81920.00
1,1024,8,128,71680.00
1,1024,16,128,92160.00
1,1024,32,128,133120.00
1,1024,40,128,134143.99
1,1024,64,128,203776.00
1,2048,8,128,160768.00
1,2048,16,128,246272.00
1,2048,32,128,368640.01
1,2048,40,128,435200.01
1,2048,64,128,712192.00
1,4096,8,128,453632.00
1,4096,16,128,720896.01
1,4096,32,128,1414144.04
1,4096,40,128,1742336.03
1,4096,64,128,2768896.10
2,128,8,128,30720.00
2,128,16,128,30720.00
2,128,32,128,30720.00
2,128,40,128,30720.00
2,128,64,128,32768.00
2,256,8,128,38912.00
2,256,16,128,32256.00
2,256,32,128,40960.00
2,256,40,128,40960.00
2,256,64,128,57344.00
2,512,8,128,60416.00
2,512,16,128,58368.00
2,512,32,128,81920.00
2,512,40,128,84992.00
2,512,64,128,120832.00
2,1024,8,128,92160.00
2,1024,16,128,132095.99
2,1024,32,128,202751.99
2,1024,40,128,238592.00
2,1024,64,128,376832.01
2,2048,8,128,235520.01
2,2048,16,128,367616.00
2,2048,32,128,722944.02
2,2048,40,128,872448.00
2,2048,64,128,1398784.04
2,4096,8,128,748543.98
2,4096,16,128,1424384.00
2,4096,32,128,2767872.10
2,4096,40,128,3483648.06
2,4096,64,128,5505023.96
4,128,8,128,30720.00
4,128,16,128,30720.00
4,128,32,128,32768.00
4,128,40,128,32768.00
4,128,64,128,49152.00
4,256,8,128,32768.00
4,256,16,128,41984.00
4,256,32,128,58368.00
4,256,40,128,61440.00
4,256,64,128,86016.00
4,512,8,128,58368.00
4,512,16,128,80896.00
4,512,32,128,120832.00
4,512,40,128,141312.00
4,512,64,128,215040.00
4,1024,8,128,132095.99
4,1024,16,128,203776.00
4,1024,32,128,376832.01
4,1024,40,128,454144.00
4,1024,64,128,723456.03
4,2048,8,128,387072.00
4,2048,16,128,741375.98
4,2048,32,128,1399808.05
4,2048,40,128,1765888.04
4,2048,64,128,2827776.07
4,4096,8,128,1458176.02
4,4096,16,128,2770944.12
4,4096,32,128,5494783.88
4,4096,40,128,7009280.20
4,4096,64,128,11135488.03
8,128,8,128,30720.00
8,128,16,128,32768.00
8,128,32,128,48128.00
8,128,40,128,59392.00
8,128,64,128,77824.00
8,256,8,128,41984.00
8,256,16,128,57344.00
8,256,32,128,86016.00
8,256,40,128,99328.00
8,256,64,128,142336.00
8,512,8,128,81920.00
8,512,16,128,121856.00
8,512,32,128,215040.00
8,512,40,128,257023.99
8,512,64,128,386047.99
8,1024,8,128,208896.00
8,1024,16,128,388608.01
8,1024,32,128,716799.97
8,1024,40,128,926208.02
8,1024,64,128,1464832.01
8,2048,8,128,758784.00
8,2048,16,128,1399808.05
8,2048,32,128,2819072.01
8,2048,40,128,3559423.92
8,2048,64,128,5627903.94
8,4096,8,128,2833408.12
8,4096,16,128,5526527.88
8,4096,32,128,11075584.41
8,4096,40,128,13864960.19
8,4096,64,128,22182911.87
16,128,8,128,33792.00
16,128,16,128,50176.00
16,128,32,128,78848.00
16,128,40,128,90112.00
16,128,64,128,128000.01
16,256,8,128,58368.00
16,256,16,128,84992.00
16,256,32,128,143360.00
16,256,40,128,179199.99
16,256,64,128,249856.00
16,512,8,128,122880.00
16,512,16,128,219136.00
16,512,32,128,389632.00
16,512,40,128,486400.01
16,512,64,128,783360.00
16,1024,8,128,405503.99
16,1024,16,128,732159.97
16,1024,32,128,1451007.96
16,1024,40,128,1840127.94
16,1024,64,128,2935807.94
16,2048,8,128,1432575.94
16,2048,16,128,2831360.10
16,2048,32,128,5629951.95
16,2048,40,128,7023103.95
16,2048,64,128,11339776.04
16,4096,8,128,5565440.18
16,4096,16,128,11075584.41
16,4096,32,128,22104576.11
16,4096,40,128,27641344.07
16,4096,64,128,44185087.20
32,128,8,128,51200.00
32,128,16,128,79872.00
32,128,32,128,128000.01
32,128,40,128,160256.00
32,128,64,128,228352.00
32,256,8,128,86016.00
32,256,16,128,143360.00
32,256,32,128,249856.00
32,256,40,128,329216.00
32,256,64,128,461824.00
32,512,8,128,221696.00
32,512,16,128,400384.01
32,512,32,128,768000.01
32,512,40,128,990208.03
32,512,64,128,1566720.01
32,1024,8,128,756735.98
32,1024,16,128,1466367.96
32,1024,32,128,2905087.95
32,1024,40,128,3660799.98
32,1024,64,128,5838335.99
32,2048,8,128,2832384.11
32,2048,16,128,5624320.03
32,2048,32,128,11231231.69
32,2048,40,128,14153728.01
32,2048,64,128,22662655.83
32,4096,8,128,11074560.17
32,4096,16,128,22105599.40
32,4096,32,128,44187135.70
32,4096,40,128,55218175.89
32,4096,64,128,88250370.03
64,128,8,128,81408.00
64,128,16,128,131584.00
64,128,32,128,230400.00
64,128,40,128,302080.01
64,128,64,128,431104.00
64,256,8,128,143360.00
64,256,16,128,253952.00
64,256,32,128,473088.00
64,256,40,128,676352.02
64,256,64,128,899071.99
64,512,8,128,416768.01
64,512,16,128,784384.01
64,512,32,128,1569792.03
64,512,40,128,1957888.01
64,512,64,128,3133440.02
64,1024,8,128,1484287.98
64,1024,16,128,2933759.93
64,1024,32,128,5906944.04
64,1024,40,128,7303167.82
64,1024,64,128,11654144.29
64,2048,8,128,5626880.17
64,2048,16,128,11213824.27
64,2048,32,128,22470144.27
64,2048,40,128,28306943.89
64,2048,64,128,45236225.13
64,4096,8,128,22114815.71
64,4096,16,128,44197887.42
64,4096,32,128,88254467.01
64,4096,40,128,110323200.23
64,4096,64,128,176458236.69
