op_type,numel,latency_ns
rmsnorm,4096,97280.00
silu,4096,17408.00
residual,4096,16384.00
rmsnorm,8192,96256.00
silu,8192,16896.00
residual,8192,17408.00
rmsnorm,16384,96256.00
silu,16384,16384.00
residual,16384,17408.00
rmsnorm,32768,96256.00
silu,32768,17408.00
residual,32768,17408.00
rmsnorm,65536,96256.00
silu,65536,16384.00
residual,65536,16384.00
rmsnorm,131072,102400.00
silu,131072,17408.00
residual,131072,16384.00
rmsnorm,262144,102400.00
silu,262144,16384.00
residual,262144,16384.00
rmsnorm,524288,101376.00
silu,524288,16384.00
residual,524288,17408.00
rmsnorm,1048576,102400.00
silu,1048576,16896.00
residual,1048576,16896.00
rmsnorm,2097152,111616.00
silu,2097152,17408.00
residual,2097152,16384.00
rmsnorm,4194304,196608.01
silu,4194304,17408.00
residual,4194304,17408.00
rmsnorm,8388608,432128.01
silu,8388608,32768.00
residual,8388608,47104.00
rmsnorm,16777216,808960.02
silu,16777216,59392.00
residual,16777216,83968.00
