M,N,K,measured_ms
1,2880,2880,0.011550000000000001
1,3584,3584,0.01379
1,3584,14336,0.040740000000000005
1,3584,18944,0.04995
1,3600,2880,0.01174
1,4096,4096,0.01686
1,4096,12288,0.03882
1,4096,12800,0.04138
1,4096,14336,0.04515
1,4608,3584,0.016800000000000002
1,5120,5112,0.02291
1,5120,17408,0.06346
1,6144,4096,0.02282
1,6816,5120,0.02982
1,7168,3584,0.02266
1,7168,7168,0.04179
1,7168,20480,0.1015
1,8192,8192,0.04925
1,8192,28672,0.15322
1,8192,29568,0.15869
1,9216,7168,0.04870000000000001
1,10240,8192,0.06035
1,12288,4096,0.03872
1,12800,4096,0.04054
1,14336,3584,0.04346
1,14336,4096,0.04698
1,17408,5120,0.06323
1,18944,3584,0.05533
1,20480,7168,0.09942000000000001
1,28672,8192,0.15747
1,29568,8192,0.17219
1,32000,4096,0.08864
1,49155,4096,0.31894
1,64000,7168,0.33741000000000004
1,128256,4096,0.7120299999999999
1,128256,8192,0.25229
1,131072,2880,0.34838
1,152064,3584,0.7832
1,152064,8192,0.6443800000000001
1,248320,4096,0.80483
1,248320,5120,0.58502
1,256000,3584,0.01158
2,2880,2880,0.0135
2,3584,3584,0.04026
2,3584,14336,0.04995
2,3584,18944,0.0119
2,3600,2880,0.016640000000000002
2,4096,4096,0.03872
2,4096,12288,0.0399
2,4096,12800,0.04387
2,4096,14336,0.01622
2,4608,3584,0.02307
2,5120,5112,0.06416
2,5120,17408,0.02243
2,6144,4096,0.02854
2,6816,5120,0.023010000000000003
2,7168,3584,0.04176
2,7168,7168,0.10074
2,7168,20480,0.048960000000000004
2,8192,8192,0.15274000000000001
2,8192,28672,0.15821000000000002
2,8192,29568,0.04854
2,9216,7168,0.06106
2,10240,8192,0.039200000000000006
2,12288,4096,0.040350000000000004
2,12800,4096,0.041890000000000004
2,14336,3584,0.047259999999999996
2,14336,4096,0.062340000000000007
2,17408,5120,0.05446
2,18944,3584,0.10061
2,20480,7168,0.15669999999999998
2,28672,8192,0.17078000000000002
2,29568,8192,0.08877
2,32000,4096,0.20029
2,49155,4096,0.29949000000000003
2,64000,7168,0.36099000000000003
2,128256,4096,0.67059
2,128256,8192,0.25622000000000006
2,131072,2880,0.34672000000000003
2,152064,3584,0.7865
2,152064,8192,0.64442
2,248320,4096,0.81274
2,248320,5120,0.58611
2,256000,3584,0.01142
4,2880,2880,0.01328
4,3584,3584,0.04163
4,3584,14336,0.04922
4,3584,18944,0.011710000000000002
4,3600,2880,0.01661
4,4096,4096,0.03914
4,4096,12288,0.04
4,4096,12800,0.04422
4,4096,14336,0.016190000000000003
4,4608,3584,0.022940000000000002
4,5120,5112,0.0632
4,5120,17408,0.0232
4,6144,4096,0.02893
4,6816,5120,0.02262
4,7168,3584,0.041890000000000004
4,7168,7168,0.10278
4,7168,20480,0.0497
4,8192,8192,0.15274000000000001
4,8192,28672,0.15949000000000002
4,8192,29568,0.04858
4,9216,7168,0.06093
4,10240,8192,0.03898
4,12288,4096,0.040100000000000004
4,12800,4096,0.04291
4,14336,3584,0.04714
4,14336,4096,0.06301
4,17408,5120,0.05619
4,18944,3584,0.10035
4,20480,7168,0.15741
4,28672,8192,0.17114
4,29568,8192,0.08941
4,32000,4096,0.21507
4,49155,4096,0.3065
4,64000,7168,0.36083
4,128256,4096,0.6722899999999999
4,128256,8192,0.24682
4,131072,2880,0.34861000000000003
4,152064,3584,0.78544
4,152064,8192,0.6441
4,248320,4096,0.81306
4,248320,5120,0.5861799999999999
4,256000,3584,0.01149
8,2880,2880,0.013090000000000001
8,3584,3584,0.04115
8,3584,14336,0.049729999999999996
8,3584,18944,0.01165
8,3600,2880,0.01654
8,4096,4096,0.03898
8,4096,12288,0.039869999999999996
