M,N,K,measured_ms
1,2880,2880,0.070656
1,3584,3584,0.072704
1,3584,14336,0.175104
1,3584,18944,0.219136
1,3600,2880,0.069632
1,4096,4096,0.077824
1,4096,12288,0.155648
1,4096,12800,0.160768
1,4096,14336,0.175104
1,4608,3584,0.074752
1,5120,5112,0.097280
1,5120,17408,0.270336
1,6144,4096,0.115712
1,6816,5120,0.135168
1,7168,3584,0.105472
1,7168,7168,0.174080
1,7168,20480,0.397312
1,8192,8192,0.193536
1,8192,28672,0.602112
1,8192,29568,0.616448
1,9216,7168,0.203776
1,10240,8192,0.241664
1,12288,4096,0.196608
1,12800,4096,0.196608
1,14336,3584,0.177152
1,14336,4096,0.196608
1,17408,5120,0.280576
1,18944,3584,0.216064
1,20480,7168,0.389120
1,28672,8192,0.617472
1,29568,8192,0.621568
1,32000,4096,0.370688
1,49155,4096,0.630784
1,64000,7168,1.159168
1,128256,4096,1.265664
1,128256,8192,2.468864
1,131072,2880,0.927744
1,152064,3584,1.306624
1,152064,8192,2.874368
1,248320,4096,2.366464
1,248320,5120,2.944000
1,256000,3584,2.141184
2,2880,2880,0.073728
2,3584,3584,0.068608
2,3584,14336,0.166912
2,3584,18944,0.207872
2,3600,2880,0.066560
2,4096,4096,0.075776
2,4096,12288,0.150528
2,4096,12800,0.157696
2,4096,14336,0.172032
2,4608,3584,0.074752
2,5120,5112,0.105472
2,5120,17408,0.248832
2,6144,4096,0.130048
2,6816,5120,0.149504
2,7168,3584,0.097280
2,7168,7168,0.190464
2,7168,20480,0.458752
2,8192,8192,0.212992
2,8192,28672,0.626688
2,8192,29568,0.644096
2,9216,7168,0.184320
2,10240,8192,0.225280
2,12288,4096,0.169984
2,12800,4096,0.169984
2,14336,3584,0.159744
2,14336,4096,0.176128
2,17408,5120,0.241664
2,18944,3584,0.192512
2,20480,7168,0.369664
2,28672,8192,0.604160
2,29568,8192,0.608256
2,32000,4096,0.372736
2,49155,4096,0.731136
2,64000,7168,1.131520
2,128256,4096,1.247232
2,128256,8192,2.445312
2,131072,2880,0.909312
2,152064,3584,1.289216
2,152064,8192,2.902016
2,248320,4096,2.341888
2,248320,5120,2.915328
