M,N,K,measured_ms
1.0,1024.0,1024.0,0.018592
1.0,1024.0,2048.0,0.018336
1.0,1024.0,2880.0,0.020832
1.0,1024.0,3072.0,0.02096
1.0,1024.0,3584.0,0.020608
1.0,1024.0,4096.0,0.020928
1.0,1024.0,5120.0,0.020736
1.0,1024.0,6144.0,0.020832
1.0,1024.0,7168.0,0.021248
1.0,1024.0,8192.0,0.021248
1.0,1024.0,10240.0,0.021888
1.0,1024.0,12288.0,0.022656
1.0,1024.0,14336.0,0.0232
1.0,1024.0,16384.0,0.024256
1.0,2048.0,1024.0,0.018176
1.0,2048.0,2048.0,0.018464
1.0,2048.0,2880.0,0.02096
1.0,2048.0,3072.0,0.02096
1.0,2048.0,3584.0,0.02096
1.0,2048.0,4096.0,0.021216
1.0,2048.0,5120.0,0.021824
1.0,2048.0,6144.0,0.022304
1.0,2048.0,7168.0,0.022592
1.0,2048.0,8192.0,0.022848
1.0,2048.0,10240.0,0.026432
1.0,2048.0,12288.0,0.034144
1.0,2048.0,14336.0,0.037056
1.0,2048.0,16384.0,0.039296
1.0,2880.0,1024.0,0.018016
1.0,2880.0,2048.0,0.01808
1.0,2880.0,2880.0,0.01114
1.0,2880.0,3072.0,0.021344
1.0,2880.0,3584.0,0.021632
1.0,2880.0,4096.0,0.022368
1.0,2880.0,5120.0,0.023648
1.0,2880.0,6144.0,0.024768
1.0,2880.0,7168.0,0.027008
1.0,2880.0,8192.0,0.03504
1.0,2880.0,10240.0,0.038336
1.0,2880.0,12288.0,0.04048
1.0,2880.0,14336.0,0.047072
1.0,2880.0,16384.0,0.048128
1.0,3072.0,1024.0,0.018048
1.0,3072.0,2048.0,0.01824
1.0,3072.0,2880.0,0.021568
1.0,3072.0,3072.0,0.021536
1.0,3072.0,3584.0,0.021536
1.0,3072.0,4096.0,0.021568
1.0,3072.0,5120.0,0.022784
1.0,3072.0,6144.0,0.023808
1.0,3072.0,7168.0,0.03072
1.0,3072.0,8192.0,0.033728
1.0,3072.0,10240.0,0.03792
1.0,3072.0,12288.0,0.041472
1.0,3072.0,14336.0,0.046112
1.0,3072.0,16384.0,0.049696
1.0,3584.0,1024.0,0.01792
1.0,3584.0,2048.0,0.017984
1.0,3584.0,2880.0,0.019072
1.0,3584.0,3072.0,0.018976
1.0,3584.0,3584.0,0.0113
1.0,3584.0,4096.0,0.020096
1.0,3584.0,5120.0,0.021184
1.0,3584.0,6144.0,0.030592
1.0,3584.0,7168.0,0.03424
1.0,3584.0,8192.0,0.036736
1.0,3584.0,10240.0,0.041056
