gpu,model,held_out,kernel_name,M,N,K,dtype,op_type,gpu_time_duration_ms,target_us
A100,Llama-70B,True,"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",,,,bf16,gemv,0.00458,4.58
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,q_proj,0.13526,135.26
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,k_proj,0.02554,25.54
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,v_proj,0.02528,25.28
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,o_proj,0.13965,139.65
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,gate,0.58064,580.6400000000001
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,up,0.59558,595.58
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,28672.0,bf16,down_proj,0.38464,384.64
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,q_proj,0.13949,139.49
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,k_proj,0.0256,25.6
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,v_proj,0.02534,25.34
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,o_proj,0.14077,140.77
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,gate,0.58614,586.14
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,up,0.58227,582.27
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,28672.0,bf16,down_proj,0.3881,388.1
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,q_proj,0.13898,138.98
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,k_proj,0.02554,25.54
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,v_proj,0.02518,25.18
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,o_proj,0.13338,133.38
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,gate,0.60003,600.03
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,28672.0,8192.0,bf16,up,0.59392,593.92
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,28672.0,bf16,down_proj,0.38301,383.01
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,q_proj,0.14259,142.59
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,k_proj,0.0256,25.6
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,128.0,1024.0,8192.0,bf16,v_proj,0.02528,25.28
A100,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,128.0,8192.0,8192.0,bf16,o_proj,0.13763,137.63
