gpu,model,held_out,kernel_name,numel,op_type,dtype,gpu_time_duration_ms,target_us
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",8192.0,rope,bf16,0.00419,4.19
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",8192.0,mul,bf16,0.00234,2.34
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",8192.0,rope,bf16,0.00371,3.7100000000000004
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",8192.0,mul,bf16,0.0023,2.3
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",262144.0,rmsnorm,bf16,0.00634,6.34
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",512.0,residual,bf16,0.00269,2.69
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",512.0,rmsnorm,bf16,0.00237,2.37
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1048576.0,mul,bf16,0.008,8.0
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::Half, c10::Half, c10::Half, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",524288.0,mul,bf16,0.00742,7.420000000000001
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::Half, c10::Half, c10::Half, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",524288.0,mul,bf16,0.00768,7.680000000000001
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",262144.0,neg,bf16,0.00496,4.96
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::Half, c10::Half, c10::Half, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",524288.0,mul,bf16,0.0073,7.3
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",524288.0,residual,bf16,0.00838,8.38
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::Half, c10::Half, c10::Half, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",131072.0,mul,bf16,0.00464,4.64
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",65536.0,neg,bf16,0.00435,4.35
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::Half, c10::Half, c10::Half, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",131072.0,mul,bf16,0.00474,4.74
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",131072.0,residual,bf16,0.00486,4.859999999999999
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",262144.0,mul,bf16,0.0062699999999999,6.2699999999999
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<bool>, std::array<char *, 1>>(int, T2, T3)",4096.0,fill,bf16,0.00189,1.89
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",512.0,fill,bf16,0.00195,1.95
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",512.0,fill,bf16,0.00192,1.9200000000000002
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",32768.0,compare,bf16,0.00346,3.46
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",262144.0,mul,bf16,0.00614,6.14
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1048576.0,residual,bf16,0.00768,7.680000000000001
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::<unnamed>::isneginf_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",262144.0,other,bf16,0.0058899999999999,5.889999999999899
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",512.0,fill,bf16,0.00192,1.9200000000000002
RTX2080Ti,Llama-8B,False,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1048576.0,compare,bf16,0.00816,8.16
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, std::array<char *, 3>>(int, T2, T3)",262144.0,residual,bf16,0.00595,5.95
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",262144.0,rmsnorm,bf16,0.0062699999999999,6.2699999999999
RTX2080Ti,Llama-8B,False,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",512.0,residual,bf16,0.00224,2.2399999999999998
