gpu,model,held_out,kernel_name,M,N,K,dtype,op_type,gpu_time_duration_ms,target_us
RTX2080Ti,Llama-8B,False,"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",,,,bf16,gemv,0.00317,3.17
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,4096.0,bf16,q_or_o,0.11587,115.87
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.03555,35.55
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.03504,35.04
RTX2080Ti,Llama-8B,False,volta_sgemm_64x64_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.0334099999999999,33.4099999999999
RTX2080Ti,Llama-8B,False,volta_sgemm_64x64_nn,128.0,1024.0,4096.0,bf16,k_or_v,0.03251,32.51
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,4096.0,bf16,q_or_o,0.11574,115.74
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.42291,422.91
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.42243,422.43
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.3784599999999999,378.4599999999999
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,4096.0,bf16,q_or_o,0.12246,122.46
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.03706,37.06
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.03648,36.48
RTX2080Ti,Llama-8B,False,volta_sgemm_64x64_tn,128.0,1024.0,4096.0,bf16,k_or_v,0.0335,33.5
RTX2080Ti,Llama-8B,False,volta_sgemm_64x64_nn,128.0,1024.0,4096.0,bf16,k_or_v,0.03283,32.83
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,4096.0,bf16,q_or_o,0.11629,116.29
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.42528,425.28
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.42483,424.83
RTX2080Ti,Llama-8B,False,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,128.0,4096.0,14336.0,bf16,down_proj,0.3798999999999999,379.8999999999999
