gpu,model,held_out,kernel_name,M,N,K,dtype,op_type,gpu_time_duration_ms,target_us
RTX3090,Llama-70B,True,"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",,,,bf16,gemv,0.00291,2.9099999999999997
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,q_proj,0.39539,395.39000000000004
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,k_proj,0.04579,45.79
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,v_proj,0.04534,45.339999999999996
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,o_proj,0.39453,394.53
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,gate,1.15,1150.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,up,1.16,1160.0
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn,128.0,8192.0,28672.0,bf16,down_proj,1.36,1360.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,q_proj,0.39523,395.23
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,k_proj,0.0457,45.699999999999996
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,v_proj,0.04525,45.25
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,o_proj,0.39466,394.66
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,gate,1.16,1160.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,up,1.16,1160.0
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn,128.0,8192.0,28672.0,bf16,down_proj,1.36,1360.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,q_proj,0.39494,394.94
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,k_proj,0.04566,45.66
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,v_proj,0.04515,45.150000000000006
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,o_proj,0.39491,394.90999999999997
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,gate,1.16,1160.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,up,1.15,1150.0
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn,128.0,8192.0,28672.0,bf16,down_proj,1.36,1360.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,q_proj,0.39498,394.98
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,k_proj,0.04566,45.66
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,v_proj,0.04525,45.25
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,o_proj,0.39472,394.72
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,gate,1.15,1150.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params),128.0,28672.0,8192.0,bf16,up,1.16,1160.0
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn,128.0,8192.0,28672.0,bf16,down_proj,1.36,1360.0
RTX3090,Llama-70B,True,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),128.0,8192.0,8192.0,bf16,q_proj,0.39542,395.42
RTX3090,Llama-70B,True,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,128.0,1024.0,8192.0,bf16,k_proj,0.04554,45.54
