gpu,model,held_out,op,bs,seq,n_tokens,kv_cache_len,d,h,kv,ffn,E,k,duration_us
A100,Llama-8B,False,attn,1,128,128,0,4096,32,8,14336,1,1,361.472
A100,Llama-8B,False,ffn,1,128,128,0,4096,32,8,14336,1,1,446.464
A100,Llama-8B,False,norm_pre,1,128,128,0,4096,32,8,14336,1,1,116.736
A100,Llama-8B,False,norm_post,1,128,128,0,4096,32,8,14336,1,1,109.567
A100,Llama-8B,False,attn,1,256,256,0,4096,32,8,14336,1,1,379.904
A100,Llama-8B,False,ffn,1,256,256,0,4096,32,8,14336,1,1,757.759
A100,Llama-8B,False,norm_pre,1,256,256,0,4096,32,8,14336,1,1,115.712
A100,Llama-8B,False,norm_post,1,256,256,0,4096,32,8,14336,1,1,82.943
A100,Llama-8B,False,attn,1,512,512,0,4096,32,8,14336,1,1,533.504
A100,Llama-8B,False,ffn,1,512,512,0,4096,32,8,14336,1,1,1163.264
A100,Llama-8B,False,norm_pre,1,512,512,0,4096,32,8,14336,1,1,116.736
A100,Llama-8B,False,norm_post,1,512,512,0,4096,32,8,14336,1,1,70.656
A100,Llama-8B,False,attn,1,768,768,0,4096,32,8,14336,1,1,512.0
A100,Llama-8B,False,ffn,1,768,768,0,4096,32,8,14336,1,1,1262.591
A100,Llama-8B,False,norm_pre,1,768,768,0,4096,32,8,14336,1,1,114.688
A100,Llama-8B,False,norm_post,1,768,768,0,4096,32,8,14336,1,1,87.039
A100,Llama-8B,False,attn,1,1024,1024,0,4096,32,8,14336,1,1,791.552
A100,Llama-8B,False,ffn,1,1024,1024,0,4096,32,8,14336,1,1,1594.367
A100,Llama-8B,False,norm_pre,1,1024,1024,0,4096,32,8,14336,1,1,135.168
A100,Llama-8B,False,norm_post,1,1024,1024,0,4096,32,8,14336,1,1,116.736
A100,Llama-8B,False,attn,2,128,256,0,4096,32,8,14336,1,1,362.495
A100,Llama-8B,False,ffn,2,128,256,0,4096,32,8,14336,1,1,615.423
A100,Llama-8B,False,norm_pre,2,128,256,0,4096,32,8,14336,1,1,115.712
A100,Llama-8B,False,norm_post,2,128,256,0,4096,32,8,14336,1,1,99.327
A100,Llama-8B,False,attn,2,256,512,0,4096,32,8,14336,1,1,409.599
