M,N,K,latency_us
1,3584,4096,28.692
1,3584,14336,81.765
1,4096,3584,29.62
1,4096,4096,31.52
1,4096,12800,85.6
1,4096,14336,95.904
1,6144,6144,61.31
1,6144,16384,151.552
1,7168,7168,83.454
1,7168,20480,222.742
1,8192,8192,109.943
1,8192,28672,343.424
1,8192,29568,359.551
1,12800,4096,83.907
1,14336,3584,86.212
1,14336,4096,98.387
1,16384,6144,155.869
1,20480,7168,219.325
1,28672,8192,345.887
1,29568,8192,357.11
1,32000,4096,196.234
1,49152,4096,299.296
1,64000,7168,682.111
1,100352,6144,853.457
1,128256,4096,723.259
1,128256,8192,1553.0
1,152064,8192,1852.0
1,256000,3584,1264.0
2,1024,4096,12.505
2,1024,6144,15.483
2,1024,7168,16.937
2,1024,8192,19.076
2,2048,3584,16.577
2,3584,4096,29.379
2,3584,14336,89.443
2,4096,3584,29.619
2,4096,4096,31.629
2,4096,12800,85.282
2,4096,14336,95.382
2,6144,6144,61.278
2,6144,16384,145.831
2,7168,7168,86.193
2,7168,20480,218.382
2,8192,8192,108.774
2,8192,28672,333.938
2,8192,29568,346.98
2,12800,4096,84.439
2,14336,3584,90.685
2,14336,4096,98.692
2,16384,6144,156.366
2,20480,7168,219.536
2,28672,8192,355.942
2,29568,8192,359.654
2,32000,4096,193.514
2,49152,4096,298.052
2,64000,7168,660.153
2,100352,6144,878.66
2,128256,4096,724.879
2,128256,8192,1472.0
2,152064,8192,1860.0
2,256000,3584,1270.0
4,1024,4096,12.342
4,1024,6144,15.297
4,1024,7168,17.085
4,1024,8192,18.857
4,2048,3584,16.528
4,3584,4096,28.426
4,3584,14336,81.368
4,4096,3584,29.913
4,4096,4096,31.502
4,4096,12800,85.418
4,4096,14336,95.474
4,6144,6144,61.194
4,6144,16384,146.168
4,7168,7168,85.606
4,7168,20480,219.006
4,8192,8192,108.599
4,8192,28672,333.87
4,8192,29568,348.218
4,12800,4096,80.477
4,14336,3584,91.273
4,14336,4096,99.056
4,16384,6144,157.111
4,20480,7168,220.483
4,28672,8192,357.95
4,29568,8192,360.743
4,32000,4096,194.111
4,49152,4096,300.189
4,64000,7168,663.655
4,100352,6144,884.412
4,128256,4096,729.941
4,128256,8192,1480.0
4,152064,8192,1866.0
4,256000,3584,1275.0
8,1024,4096,12.384
8,1024,6144,15.436
8,1024,7168,16.95
8,1024,8192,18.876
8,2048,3584,16.653
8,3584,4096,37.427
8,3584,14336,82.575
8,4096,3584,29.826
8,4096,4096,31.58
8,4096,12800,85.52
8,4096,14336,95.254
8,6144,6144,61.488
8,6144,16384,146.731
8,7168,7168,86.606
8,7168,20480,220.579
8,8192,8192,108.711
8,8192,28672,334.68
8,8192,29568,349.53
8,12800,4096,80.576
8,14336,3584,92.751
8,14336,4096,99.418
8,16384,6144,159.344
8,20480,7168,221.756
8,28672,8192,358.468
8,29568,8192,362.023
8,32000,4096,194.983
8,49152,4096,303.712
8,64000,7168,671.587
8,100352,6144,906.376
8,128256,4096,733.536
8,128256,8192,1483.0
8,152064,8192,1887.0
8,256000,3584,1289.0
16,1024,4096,12.359
16,1024,6144,15.582
16,1024,7168,17.011
16,1024,8192,19.123
16,2048,3584,17.597
16,3584,4096,37.55
16,3584,14336,83.273
16,4096,3584,29.888
16,4096,4096,31.615
16,4096,12800,85.868
16,4096,14336,95.906
16,6144,6144,61.369
16,6144,16384,148.083
16,7168,7168,85.987
16,7168,20480,225.52
16,8192,8192,109.529
16,8192,28672,335.414
16,8192,29568,351.041
16,12800,4096,80.627
16,14336,3584,93.869
16,14336,4096,100.714
16,16384,6144,161.07
16,20480,7168,226.061
16,28672,8192,360.116
16,29568,8192,365.01
16,32000,4096,195.794
16,49152,4096,311.344
16,64000,7168,687.994
16,100352,6144,925.527
16,128256,4096,743.884
16,128256,8192,1497.0
16,152064,8192,1911.0
16,256000,3584,1402.0
32,1024,4096,12.936
32,1024,6144,15.971
32,1024,7168,17.866
32,1024,8192,19.413
32,2048,3584,16.965
32,3584,4096,28.768
32,3584,14336,86.466
32,4096,3584,30.118
32,4096,4096,31.694
32,4096,12800,88.061
32,4096,14336,97.298
32,6144,6144,61.898
32,6144,16384,163.815
32,7168,7168,106.883
32,7168,20480,231.233
32,8192,8192,124.627
32,8192,28672,357.398
32,8192,29568,382.041
32,12800,4096,82.961
32,14336,3584,105.449
32,14336,4096,117.073
32,16384,6144,175.648
32,20480,7168,227.385
32,28672,8192,450.792
32,29568,8192,452.611
32,32000,4096,229.256
32,49152,4096,302.578
32,64000,7168,704.57
