M,N,K,latency_us
1,1024,4096,12.274
1,1024,6144,13.201
1,1024,7168,14.321
1,1024,8192,15.026
1,2048,3584,14.173
1,3584,4096,14.719
1,3584,14336,42.237
1,4096,3584,14.419
1,4096,4096,20.684
1,4096,12800,43.236
1,4096,14336,47.275
1,6144,6144,30.486
1,6144,16384,74.87
1,7168,7168,43.076
1,7168,20480,102.835
1,8192,8192,47.606
1,8192,28672,159.191
1,8192,29568,164.261
1,12800,4096,38.305
1,14336,3584,37.923
1,14336,4096,42.419
1,16384,6144,69.47
1,20480,7168,101.691
1,28672,8192,153.503
1,29568,8192,167.736
1,32000,4096,96.422
1,49152,4096,138.55
1,64000,7168,312.979
1,100352,6144,409.121
1,128256,4096,365.938
1,128256,8192,735.576
1,152064,8192,831.032
1,256000,3584,601.297
2,1024,4096,12.353
2,1024,6144,13.188
2,1024,7168,14.351
2,1024,8192,14.953
2,2048,3584,14.14
2,3584,4096,14.592
2,3584,14336,42.084
2,4096,3584,14.229
2,4096,4096,20.439
2,4096,12800,43.026
2,4096,14336,46.819
2,6144,6144,30.314
2,6144,16384,74.976
2,7168,7168,42.82
2,7168,20480,103.263
2,8192,8192,47.513
2,8192,28672,159.406
2,8192,29568,164.785
2,12800,4096,38.456
2,14336,3584,37.935
2,14336,4096,42.53
2,16384,6144,69.962
2,20480,7168,101.475
2,28672,8192,154.615
2,29568,8192,168.212
2,32000,4096,97.158
2,49152,4096,138.942
2,64000,7168,315.961
2,100352,6144,408.885
2,128256,4096,366.588
2,128256,8192,732.845
2,152064,8192,831.486
2,256000,3584,602.379
4,1024,4096,12.459
4,1024,6144,13.147
4,1024,7168,14.279
4,1024,8192,14.938
4,2048,3584,14.201
4,3584,4096,14.515
4,3584,14336,42.268
4,4096,3584,14.394
4,4096,4096,20.034
4,4096,12800,42.809
4,4096,14336,46.954
4,6144,6144,30.423
4,6144,16384,74.962
4,7168,7168,42.912
4,7168,20480,103.668
4,8192,8192,47.442
4,8192,28672,159.22
4,8192,29568,164.852
4,12800,4096,38.489
4,14336,3584,37.826
4,14336,4096,42.591
4,16384,6144,69.655
4,20480,7168,101.6
4,28672,8192,154.169
4,29568,8192,168.01
4,32000,4096,97.229
4,49152,4096,138.569
4,64000,7168,312.916
4,100352,6144,409.884
4,128256,4096,373.449
4,128256,8192,733.862
4,152064,8192,832.741
4,256000,3584,604.703
8,1024,4096,12.526
8,1024,6144,13.264
8,1024,7168,14.473
8,1024,8192,15.065
8,2048,3584,14.091
8,3584,4096,14.556
8,3584,14336,42.228
8,4096,3584,14.404
8,4096,4096,20.147
8,4096,12800,43.043
8,4096,14336,46.686
8,6144,6144,30.669
8,6144,16384,75.182
8,7168,7168,42.899
8,7168,20480,104.076
8,8192,8192,47.573
8,8192,28672,160.172
8,8192,29568,165.487
8,12800,4096,38.988
8,14336,3584,37.704
8,14336,4096,42.323
8,16384,6144,70.075
8,20480,7168,101.571
8,28672,8192,155.517
8,29568,8192,167.983
8,32000,4096,97.01
8,49152,4096,139.685
8,64000,7168,315.535
8,100352,6144,409.889
8,128256,4096,370.166
8,128256,8192,736.955
8,152064,8192,834.116
8,256000,3584,608.645
16,1024,4096,12.724
16,1024,6144,13.301
