M,N,K
1,1024,4096
2,1024,4096
4,1024,4096
8,1024,4096
16,1024,4096
32,1024,4096
64,1024,4096
128,1024,4096
256,1024,4096
512,1024,4096
1024,1024,4096
2048,1024,4096
4096,1024,4096
8192,1024,4096
1,1024,6144
2,1024,6144
4,1024,6144
8,1024,6144
16,1024,6144
32,1024,6144
64,1024,6144
128,1024,6144
256,1024,6144
512,1024,6144
1024,1024,6144
2048,1024,6144
4096,1024,6144
8192,1024,6144
1,1024,7168
2,1024,7168
4,1024,7168
8,1024,7168
16,1024,7168
32,1024,7168
64,1024,7168
128,1024,7168
256,1024,7168
512,1024,7168
1024,1024,7168
2048,1024,7168
4096,1024,7168
8192,1024,7168
1,1024,8192
2,1024,8192
4,1024,8192
8,1024,8192
16,1024,8192
32,1024,8192
64,1024,8192
128,1024,8192
256,1024,8192
512,1024,8192
1024,1024,8192
2048,1024,8192
4096,1024,8192
8192,1024,8192
1,2048,3584
2,2048,3584
4,2048,3584
8,2048,3584
16,2048,3584
32,2048,3584
64,2048,3584
128,2048,3584
256,2048,3584
512,2048,3584
1024,2048,3584
2048,2048,3584
4096,2048,3584
8192,2048,3584
1,3584,4096
2,3584,4096
4,3584,4096
8,3584,4096
16,3584,4096
32,3584,4096
64,3584,4096
128,3584,4096
256,3584,4096
512,3584,4096
1024,3584,4096
2048,3584,4096
4096,3584,4096
8192,3584,4096
1,3584,14336
2,3584,14336
4,3584,14336
8,3584,14336
16,3584,14336
32,3584,14336
64,3584,14336
128,3584,14336
256,3584,14336
512,3584,14336
1024,3584,14336
2048,3584,14336
4096,3584,14336
8192,3584,14336
1,4096,3584
2,4096,3584
4,4096,3584
8,4096,3584
16,4096,3584
32,4096,3584
64,4096,3584
128,4096,3584
256,4096,3584
512,4096,3584
1024,4096,3584
2048,4096,3584
4096,4096,3584
8192,4096,3584
1,4096,4096
2,4096,4096
4,4096,4096
8,4096,4096
16,4096,4096
32,4096,4096
64,4096,4096
128,4096,4096
256,4096,4096
512,4096,4096
1024,4096,4096
2048,4096,4096
4096,4096,4096
8192,4096,4096
1,4096,12800
2,4096,12800
4,4096,12800
8,4096,12800
16,4096,12800
32,4096,12800
64,4096,12800
128,4096,12800
256,4096,12800
512,4096,12800
1024,4096,12800
2048,4096,12800
4096,4096,12800
8192,4096,12800
1,4096,14336
2,4096,14336
4,4096,14336
8,4096,14336
16,4096,14336
32,4096,14336
64,4096,14336
128,4096,14336
256,4096,14336
512,4096,14336
1024,4096,14336
2048,4096,14336
4096,4096,14336
8192,4096,14336
1,6144,6144
2,6144,6144
4,6144,6144
8,6144,6144
16,6144,6144
32,6144,6144
64,6144,6144
128,6144,6144
256,6144,6144
512,6144,6144
1024,6144,6144
2048,6144,6144
4096,6144,6144
8192,6144,6144
1,6144,16384
2,6144,16384
4,6144,16384
8,6144,16384
16,6144,16384
32,6144,16384
64,6144,16384
128,6144,16384
256,6144,16384
512,6144,16384
1024,6144,16384
2048,6144,16384
4096,6144,16384
8192,6144,16384
1,7168,7168
2,7168,7168
4,7168,7168
8,7168,7168
16,7168,7168
32,7168,7168
64,7168,7168
128,7168,7168
256,7168,7168
512,7168,7168
1024,7168,7168
2048,7168,7168
4096,7168,7168
8192,7168,7168
1,7168,20480
2,7168,20480
4,7168,20480
8,7168,20480
16,7168,20480
32,7168,20480
64,7168,20480
128,7168,20480
256,7168,20480
512,7168,20480
1024,7168,20480
2048,7168,20480
4096,7168,20480
8192,7168,20480
1,8192,8192
2,8192,8192
4,8192,8192
8,8192,8192
16,8192,8192
32,8192,8192
64,8192,8192
128,8192,8192
256,8192,8192
512,8192,8192
1024,8192,8192
2048,8192,8192
4096,8192,8192
8192,8192,8192
1,8192,28672
2,8192,28672
4,8192,28672
8,8192,28672
16,8192,28672
32,8192,28672
64,8192,28672
128,8192,28672
256,8192,28672
512,8192,28672
1024,8192,28672
2048,8192,28672
4096,8192,28672
8192,8192,28672
1,8192,29568
2,8192,29568
4,8192,29568
8,8192,29568
16,8192,29568
32,8192,29568
64,8192,29568
128,8192,29568
256,8192,29568
512,8192,29568
1024,8192,29568
2048,8192,29568
4096,8192,29568
8192,8192,29568
1,12800,4096
2,12800,4096
4,12800,4096
8,12800,4096
16,12800,4096
32,12800,4096
64,12800,4096
128,12800,4096
256,12800,4096
512,12800,4096
1024,12800,4096
2048,12800,4096
4096,12800,4096
8192,12800,4096
1,14336,3584
2,14336,3584
4,14336,3584
8,14336,3584
16,14336,3584
32,14336,3584
64,14336,3584
128,14336,3584
256,14336,3584
512,14336,3584
1024,14336,3584
2048,14336,3584
4096,14336,3584
8192,14336,3584
1,14336,4096
2,14336,4096
4,14336,4096
8,14336,4096
16,14336,4096
32,14336,4096
64,14336,4096
128,14336,4096
256,14336,4096
512,14336,4096
1024,14336,4096
2048,14336,4096
4096,14336,4096
8192,14336,4096
1,16384,6144
2,16384,6144
4,16384,6144
8,16384,6144
16,16384,6144
32,16384,6144
64,16384,6144
128,16384,6144
256,16384,6144
512,16384,6144
1024,16384,6144
2048,16384,6144
4096,16384,6144
8192,16384,6144
1,20480,7168
2,20480,7168
4,20480,7168
8,20480,7168
16,20480,7168
32,20480,7168
64,20480,7168
128,20480,7168
256,20480,7168
512,20480,7168
1024,20480,7168
2048,20480,7168
4096,20480,7168
8192,20480,7168
1,28672,8192
2,28672,8192
4,28672,8192
8,28672,8192
16,28672,8192
32,28672,8192
64,28672,8192
128,28672,8192
256,28672,8192
512,28672,8192
1024,28672,8192
2048,28672,8192
4096,28672,8192
8192,28672,8192
1,29568,8192
2,29568,8192
4,29568,8192
8,29568,8192
16,29568,8192
32,29568,8192
64,29568,8192
128,29568,8192
256,29568,8192
512,29568,8192
1024,29568,8192
2048,29568,8192
4096,29568,8192
8192,29568,8192
1,32000,4096
2,32000,4096
4,32000,4096
8,32000,4096
16,32000,4096
32,32000,4096
64,32000,4096
128,32000,4096
256,32000,4096
512,32000,4096
1024,32000,4096
2048,32000,4096
4096,32000,4096
8192,32000,4096
1,49152,4096
2,49152,4096
4,49152,4096
8,49152,4096
16,49152,4096
32,49152,4096
64,49152,4096
128,49152,4096
256,49152,4096
512,49152,4096
1024,49152,4096
2048,49152,4096
4096,49152,4096
8192,49152,4096
1,64000,7168
2,64000,7168
4,64000,7168
8,64000,7168
16,64000,7168
32,64000,7168
64,64000,7168
128,64000,7168
256,64000,7168
512,64000,7168
1024,64000,7168
2048,64000,7168
4096,64000,7168
8192,64000,7168
1,100352,6144
2,100352,6144
4,100352,6144
8,100352,6144
16,100352,6144
32,100352,6144
64,100352,6144
128,100352,6144
256,100352,6144
512,100352,6144
1024,100352,6144
2048,100352,6144
4096,100352,6144
8192,100352,6144
1,128256,4096
2,128256,4096
4,128256,4096
8,128256,4096
16,128256,4096
32,128256,4096
64,128256,4096
128,128256,4096
256,128256,4096
512,128256,4096
1024,128256,4096
2048,128256,4096
4096,128256,4096
8192,128256,4096
1,128256,8192
2,128256,8192
4,128256,8192
8,128256,8192
16,128256,8192
32,128256,8192
64,128256,8192
128,128256,8192
256,128256,8192
512,128256,8192
1024,128256,8192
2048,128256,8192
4096,128256,8192
8192,128256,8192
1,152064,8192
2,152064,8192
4,152064,8192
8,152064,8192
16,152064,8192
32,152064,8192
64,152064,8192
128,152064,8192
256,152064,8192
512,152064,8192
1024,152064,8192
2048,152064,8192
4096,152064,8192
8192,152064,8192
1,256000,3584
2,256000,3584
4,256000,3584
8,256000,3584
16,256000,3584
32,256000,3584
64,256000,3584
128,256000,3584
256,256000,3584
512,256000,3584
1024,256000,3584
2048,256000,3584
4096,256000,3584
8192,256000,3584
