M,N,K,op_type
1,2880,2880,moe_down
1,2880,2880,moe_gate
1,2880,2880,moe_up
1,2880,2880,o_proj
1,3584,3584,o_proj
1,3584,14336,down
1,3584,18944,down
1,3600,2880,qkv
1,4096,4096,o_proj
1,4096,12288,down
1,4096,12800,down
1,4096,14336,down
1,4096,14336,moe_down
1,4608,3584,qkv
1,5120,5112,o_proj
1,5120,17408,down
1,6144,4096,qkv
1,6816,5120,qkv
1,7168,3584,qkv
1,7168,7168,o_proj
1,7168,20480,down
1,8192,8192,o_proj
1,8192,28672,down
1,8192,29568,down
1,9216,7168,qkv
1,10240,8192,qkv
1,12288,4096,gate
1,12288,4096,up
1,12800,4096,gate
1,12800,4096,up
1,14336,3584,gate
1,14336,3584,up
1,14336,4096,gate
1,14336,4096,moe_gate
1,14336,4096,moe_up
1,14336,4096,up
1,17408,5120,gate
1,17408,5120,up
1,18944,3584,gate
1,18944,3584,up
1,20480,7168,gate
1,20480,7168,up
1,28672,8192,gate
1,28672,8192,up
1,29568,8192,gate
1,29568,8192,up
1,32000,4096,lm_head
1,49155,4096,lm_head
1,64000,7168,lm_head
1,128256,4096,lm_head
1,128256,8192,lm_head
1,131072,2880,lm_head
1,152064,3584,lm_head
1,152064,8192,lm_head
1,248320,4096,lm_head
1,248320,5120,lm_head
1,256000,3584,lm_head
2,2880,2880,moe_down
2,2880,2880,moe_gate
2,2880,2880,moe_up
2,2880,2880,o_proj
2,3584,3584,o_proj
2,3584,14336,down
2,3584,18944,down
2,3600,2880,qkv
2,4096,4096,o_proj
2,4096,12288,down
2,4096,12800,down
2,4096,14336,down
2,4096,14336,moe_down
2,4608,3584,qkv
2,5120,5112,o_proj
2,5120,17408,down
2,6144,4096,qkv
2,6816,5120,qkv
2,7168,3584,qkv
2,7168,7168,o_proj
2,7168,20480,down
2,8192,8192,o_proj
2,8192,28672,down
2,8192,29568,down
2,9216,7168,qkv
2,10240,8192,qkv
2,12288,4096,gate
2,12288,4096,up
2,12800,4096,gate
2,12800,4096,up
2,14336,3584,gate
2,14336,3584,up
2,14336,4096,gate
2,14336,4096,moe_gate
2,14336,4096,moe_up
2,14336,4096,up
2,17408,5120,gate
2,17408,5120,up
2,18944,3584,gate
2,18944,3584,up
2,20480,7168,gate
2,20480,7168,up
2,28672,8192,gate
2,28672,8192,up
2,29568,8192,gate
2,29568,8192,up
2,32000,4096,lm_head
2,49155,4096,lm_head
2,64000,7168,lm_head
2,128256,4096,lm_head
2,128256,8192,lm_head
2,131072,2880,lm_head
2,152064,3584,lm_head
2,152064,8192,lm_head
2,248320,4096,lm_head
2,248320,5120,lm_head
2,256000,3584,lm_head
4,2880,2880,moe_down
4,2880,2880,moe_gate
4,2880,2880,moe_up
4,2880,2880,o_proj
4,3584,3584,o_proj
4,3584,14336,down
4,3584,18944,down
4,3600,2880,qkv
4,4096,4096,o_proj
4,4096,12288,down
4,4096,12800,down
4,4096,14336,down
4,4096,14336,moe_down
4,4608,3584,qkv
4,5120,5112,o_proj
4,5120,17408,down
4,6144,4096,qkv
4,6816,5120,qkv
4,7168,3584,qkv
4,7168,7168,o_proj
4,7168,20480,down
4,8192,8192,o_proj
4,8192,28672,down
4,8192,29568,down
4,9216,7168,qkv
4,10240,8192,qkv
4,12288,4096,gate
4,12288,4096,up
4,12800,4096,gate
4,12800,4096,up
4,14336,3584,gate
4,14336,3584,up
4,14336,4096,gate
4,14336,4096,moe_gate
4,14336,4096,moe_up
4,14336,4096,up
4,17408,5120,gate
4,17408,5120,up
4,18944,3584,gate
4,18944,3584,up
4,20480,7168,gate
4,20480,7168,up
4,28672,8192,gate
4,28672,8192,up
4,29568,8192,gate
4,29568,8192,up
4,32000,4096,lm_head
4,49155,4096,lm_head
4,64000,7168,lm_head
4,128256,4096,lm_head
4,128256,8192,lm_head
4,131072,2880,lm_head
4,152064,3584,lm_head
4,152064,8192,lm_head
4,248320,4096,lm_head
4,248320,5120,lm_head
4,256000,3584,lm_head
8,2880,2880,moe_down
8,2880,2880,moe_gate
8,2880,2880,moe_up
8,2880,2880,o_proj
8,3584,3584,o_proj
8,3584,14336,down
8,3584,18944,down
8,3600,2880,qkv
8,4096,4096,o_proj
8,4096,12288,down
8,4096,12800,down
8,4096,14336,down
8,4096,14336,moe_down
8,4608,3584,qkv
8,5120,5112,o_proj
8,5120,17408,down
8,6144,4096,qkv
8,6816,5120,qkv
8,7168,3584,qkv
8,7168,7168,o_proj
8,7168,20480,down
8,8192,8192,o_proj
8,8192,28672,down
8,8192,29568,down
8,9216,7168,qkv
8,10240,8192,qkv
8,12288,4096,gate
8,12288,4096,up
8,12800,4096,gate
8,12800,4096,up
8,14336,3584,gate
8,14336,3584,up
8,14336,4096,gate
8,14336,4096,moe_gate
8,14336,4096,moe_up
