batch_size,kv_len,n_heads,head_dim,latency_ns
1,128,8,128,31744.00
1,128,16,128,30720.00
1,128,32,128,31232.00
1,128,40,128,31744.00
1,128,64,128,30720.00
1,256,8,128,35840.00
1,256,16,128,35840.00
1,256,32,128,36864.00
1,256,40,128,36864.00
1,256,64,128,36864.00
1,512,8,128,35840.00
1,512,16,128,36864.00
1,512,32,128,35840.00
1,512,40,128,36864.00
1,512,64,128,39936.00
1,1024,8,128,36864.00
1,1024,16,128,36864.00
1,1024,32,128,39936.00
1,1024,40,128,39936.00
1,1024,64,128,56320.00
1,2048,8,128,37888.00
1,2048,16,128,40960.00
1,2048,32,128,50176.00
1,2048,40,128,65536.00
1,2048,64,128,78848.00
1,4096,8,128,44032.00
1,4096,16,128,51200.00
1,4096,32,128,79872.00
1,4096,40,128,93184.00
1,4096,64,128,129024.00
2,128,8,128,30720.00
2,128,16,128,30720.00
2,128,32,128,30720.00
2,128,40,128,30720.00
2,128,64,128,31744.00
2,256,8,128,35840.00
2,256,16,128,35840.00
2,256,32,128,36864.00
2,256,40,128,36864.00
2,256,64,128,39936.00
2,512,8,128,35840.00
2,512,16,128,36864.00
2,512,32,128,39936.00
2,512,40,128,38912.00
2,512,64,128,52224.00
2,1024,8,128,36864.00
2,1024,16,128,39936.00
2,1024,32,128,49152.00
2,1024,40,128,63488.00
2,1024,64,128,78848.00
2,2048,8,128,40960.00
2,2048,16,128,50176.00
2,2048,32,128,78848.00
2,2048,40,128,95232.00
2,2048,64,128,130048.01
2,4096,8,128,51200.00
2,4096,16,128,79872.00
2,4096,32,128,128512.00
2,4096,40,128,154624.00
2,4096,64,128,224255.99
4,128,8,128,30720.00
4,128,16,128,30720.00
4,128,32,128,31744.00
4,128,40,128,31744.00
4,128,64,128,37888.00
4,256,8,128,35840.00
4,256,16,128,36864.00
4,256,32,128,39936.00
4,256,40,128,39936.00
4,256,64,128,53248.00
4,512,8,128,36864.00
4,512,16,128,38912.00
4,512,32,128,51712.00
4,512,40,128,61952.00
4,512,64,128,96256.00
4,1024,8,128,39936.00
4,1024,16,128,50176.00
4,1024,32,128,78848.00
4,1024,40,128,93696.00
4,1024,64,128,144384.00
4,2048,8,128,50176.00
4,2048,16,128,78848.00
4,2048,32,128,130048.01
4,2048,40,128,153088.00
4,2048,64,128,264191.99
4,4096,8,128,79872.00
4,4096,16,128,128512.00
4,4096,32,128,222207.99
4,4096,40,128,267264.01
4,4096,64,128,497664.00
8,128,8,128,30720.00
8,128,16,128,31744.00
8,128,32,128,38912.00
8,128,40,128,38912.00
8,128,64,128,55296.00
8,256,8,128,36864.00
8,256,16,128,39936.00
8,256,32,128,53248.00
8,256,40,128,64000.00
8,256,64,128,84992.00
8,512,8,128,39936.00
8,512,16,128,52224.00
8,512,32,128,97280.00
8,512,40,128,99328.00
8,512,64,128,140288.00
8,1024,8,128,50176.00
8,1024,16,128,79872.00
8,1024,32,128,143360.00
8,1024,40,128,175104.01
8,1024,64,128,230400.00
8,2048,8,128,79360.00
8,2048,16,128,130048.01
8,2048,32,128,263168.01
8,2048,40,128,273408.00
8,2048,64,128,429567.99
8,4096,8,128,129024.00
8,4096,16,128,223232.00
8,4096,32,128,497664.00
8,4096,40,128,520192.03
8,4096,64,128,825344.03
16,128,8,128,32768.00
16,128,16,128,39936.00
16,128,32,128,54272.00
16,128,40,128,62464.00
16,128,64,128,83968.00
16,256,8,128,40960.00
16,256,16,128,54272.00
16,256,32,128,84992.00
16,256,40,128,95232.00
16,256,64,128,133120.00
16,512,8,128,53248.00
16,512,16,128,98304.00
16,512,32,128,140288.00
16,512,40,128,155136.00
16,512,64,128,233472.00
16,1024,8,128,80896.00
16,1024,16,128,144384.00
16,1024,32,128,230400.00
16,1024,40,128,285696.00
16,1024,64,128,433151.99
16,2048,8,128,131072.00
16,2048,16,128,263168.01
16,2048,32,128,430080.00
16,2048,40,128,518656.02
16,2048,64,128,824320.02
16,4096,8,128,224255.99
16,4096,16,128,498688.01
16,4096,32,128,827391.98
16,4096,40,128,1001472.00
16,4096,64,128,1614848.02
32,128,8,128,40960.00
32,128,16,128,55296.00
32,128,32,128,86016.00
32,128,40,128,104448.00
32,128,64,128,135168.00
32,256,8,128,54272.00
32,256,16,128,84992.00
32,256,32,128,132095.99
32,256,40,128,164864.00
32,256,64,128,236544.00
32,512,8,128,99328.00
32,512,16,128,142336.00
32,512,32,128,234496.00
32,512,40,128,299008.01
32,512,64,128,442368.00
32,1024,8,128,146432.00
32,1024,16,128,230400.00
32,1024,32,128,433151.99
32,1024,40,128,546303.99
32,1024,64,128,828415.99
32,2048,8,128,263168.01
32,2048,16,128,431104.00
32,2048,32,128,829440.00
32,2048,40,128,1034752.01
32,2048,64,128,1591807.96
32,4096,8,128,498688.01
32,4096,16,128,828927.99
32,4096,32,128,1611263.99
32,4096,40,128,2030591.96
32,4096,64,128,3122175.93
64,128,8,128,57344.00
64,128,16,128,91136.00
64,128,32,128,142336.00
64,128,40,128,181247.99
64,128,64,128,237568.01
64,256,8,128,84480.00
64,256,16,128,138239.99
64,256,32,128,237568.01
64,256,40,128,321536.00
64,256,64,128,450560.00
64,512,8,128,138239.99
64,512,16,128,234496.00
64,512,32,128,444415.99
64,512,40,128,565248.01
64,512,64,128,854016.01
64,1024,8,128,231424.00
64,1024,16,128,434176.00
64,1024,32,128,829952.00
64,1024,40,128,1166848.00
64,1024,64,128,1626111.98
64,2048,8,128,429055.99
64,2048,16,128,824320.02
64,2048,32,128,1586176.04
64,2048,40,128,2202624.08
64,2048,64,128,3161087.99
64,4096,8,128,827391.98
64,4096,16,128,1619968.00
64,4096,32,128,3120127.92
64,4096,40,128,4096000.19
64,4096,64,128,6226944.21
