M,N,K,latency_ns
1,128,128,21504.00
1,128,256,20480.00
1,128,512,20480.00
1,128,1024,20480.00
1,128,2048,20480.00
1,128,3072,21504.00
1,128,4096,25600.00
1,128,5120,24576.00
1,128,8192,23552.00
1,128,11008,23552.00
1,128,13824,25088.00
1,128,14336,24576.00
1,128,25600,24576.00
1,128,27648,24576.00
1,128,28672,25600.00
1,256,128,20480.00
1,256,256,20480.00
1,256,512,20480.00
1,256,1024,20480.00
1,256,2048,20480.00
1,256,3072,23552.00
1,256,4096,23552.00
1,256,5120,23552.00
1,256,8192,24576.00
1,256,11008,24576.00
1,256,13824,24576.00
1,256,14336,25600.00
1,256,25600,27648.00
1,256,27648,28672.00
1,256,28672,28672.00
1,512,128,20480.00
1,512,256,20480.00
1,512,512,20480.00
1,512,1024,20480.00
1,512,2048,20480.00
1,512,3072,24576.00
1,512,4096,23552.00
1,512,5120,23552.00
1,512,8192,24576.00
1,512,11008,26624.00
1,512,13824,26624.00
1,512,14336,27648.00
1,512,25600,30720.00
1,512,27648,31744.00
1,512,28672,31744.00
1,1024,128,25600.00
1,1024,256,25600.00
1,1024,512,20480.00
1,1024,1024,20480.00
1,1024,2048,20480.00
1,1024,3072,23552.00
1,1024,4096,25600.00
1,1024,5120,25600.00
1,1024,8192,28672.00
1,1024,11008,28672.00
1,1024,13824,30720.00
1,1024,14336,34816.00
1,1024,25600,57344.00
1,1024,27648,59904.00
1,1024,28672,61440.00
1,2048,128,20480.00
1,2048,256,20480.00
1,2048,512,20480.00
1,2048,1024,20992.00
1,2048,2048,24576.00
1,2048,3072,26624.00
1,2048,4096,27648.00
1,2048,5120,29696.00
1,2048,8192,41984.00
1,2048,11008,53248.00
1,2048,13824,61440.00
1,2048,14336,62464.00
1,2048,25600,95232.00
1,2048,27648,101376.00
1,2048,28672,104448.00
1,3072,128,20480.00
1,3072,256,20480.00
1,3072,512,21504.00
1,3072,1024,21504.00
1,3072,2048,25600.00
1,3072,3072,27648.00
1,3072,4096,29696.00
1,3072,5120,31744.00
1,3072,8192,55296.00
1,3072,11008,67584.00
1,3072,13824,79360.00
1,3072,14336,80896.00
1,3072,25600,129024.00
1,3072,27648,137216.00
1,3072,28672,142336.00
1,4096,128,20480.00
1,4096,256,20480.00
1,4096,512,21504.00
1,4096,1024,20480.00
1,4096,2048,23552.00
1,4096,3072,27648.00
1,4096,4096,33792.00
1,4096,5120,48128.00
1,4096,8192,66560.00
1,4096,11008,81920.00
1,4096,13824,98816.00
1,4096,14336,101376.00
1,4096,25600,167936.00
1,4096,27648,181247.99
1,4096,28672,186368.00
1,5120,128,20480.00
1,5120,256,20480.00
1,5120,512,21504.00
1,5120,1024,20480.00
1,5120,2048,25600.00
1,5120,3072,29696.00
1,5120,4096,48128.00
1,5120,5120,55296.00
1,5120,8192,77824.00
1,5120,11008,98304.00
1,5120,13824,118784.00
1,5120,14336,122880.00
1,5120,25600,205824.00
1,5120,27648,221184.00
1,5120,28672,226816.00
1,8192,128,20480.00
1,8192,256,20480.00
1,8192,512,20480.00
1,8192,1024,23552.00
1,8192,2048,34816.00
1,8192,3072,49664.00
1,8192,4096,61440.00
1,8192,5120,74752.00
1,8192,8192,110592.00
1,8192,11008,144384.00
1,8192,13824,177151.99
1,8192,14336,183295.99
1,8192,25600,316928.00
1,8192,27648,340480.00
1,8192,28672,351231.99
1,11008,128,20480.00
1,11008,256,20480.00
1,11008,512,21504.00
1,11008,1024,21504.00
1,11008,2048,45056.00
1,11008,3072,61440.00
1,11008,4096,77824.00
1,11008,5120,93696.00
1,11008,8192,142336.00
1,11008,11008,185344.00
1,11008,13824,228352.00
1,11008,14336,235520.01
1,11008,25600,410624.00
1,11008,27648,441856.00
1,11008,28672,456703.99
1,13824,128,20480.00
1,13824,256,20480.00
1,13824,512,21504.00
1,13824,1024,21504.00
1,13824,2048,54272.00
1,13824,3072,72704.00
1,13824,4096,92160.00
1,13824,5120,111616.00
1,13824,8192,175104.01
1,13824,11008,221696.00
1,13824,13824,289792.00
1,13824,14336,300031.99
1,13824,25600,508928.00
1,13824,27648,547840.00
1,13824,28672,566272.02
1,14336,128,20480.00
1,14336,256,20992.00
1,14336,512,21504.00
1,14336,1024,28672.00
1,14336,2048,63488.00
1,14336,3072,84992.00
1,14336,4096,105472.00
1,14336,5120,124928.00
1,14336,8192,185344.00
1,14336,11008,248320.00
1,14336,13824,302080.01
1,14336,14336,312319.99
1,14336,25600,530943.99
1,14336,27648,570367.99
1,14336,28672,589312.02
1,25600,128,20480.00
1,25600,256,22528.00
1,25600,512,23552.00
1,25600,1024,53248.00
1,25600,2048,89088.00
1,25600,3072,124928.00
