batch_size,kv_len,n_heads,head_dim,latency_ns
1,128,8,128,26448.00
1,128,16,128,17152.00
1,128,32,128,17248.00
1,128,40,128,17296.00
1,128,64,128,17120.00
1,256,8,128,18144.00
1,256,16,128,18176.00
1,256,32,128,18144.00
1,256,40,128,18080.00
1,256,64,128,18272.00
1,512,8,128,19360.00
1,512,16,128,19712.00
1,512,32,128,19440.00
1,512,40,128,19392.00
1,512,64,128,19248.00
1,1024,8,128,20560.00
1,1024,16,128,21056.00
1,1024,32,128,21840.00
1,1024,40,128,22384.00
1,1024,64,128,23488.00
1,2048,8,128,20848.00
1,2048,16,128,21696.00
1,2048,32,128,23600.00
1,2048,40,128,25872.00
1,2048,64,128,40880.00
1,4096,8,128,22000.00
1,4096,16,128,24000.00
1,4096,32,128,40640.00
1,4096,40,128,46880.00
1,4096,64,128,62320.00
2,128,8,128,17232.00
2,128,16,128,17232.00
2,128,32,128,17232.00
2,128,40,128,17376.00
2,128,64,128,17376.00
2,256,8,128,18144.00
2,256,16,128,18064.00
2,256,32,128,18000.00
2,256,40,128,18048.00
2,256,64,128,18160.00
2,512,8,128,19728.00
2,512,16,128,19584.00
2,512,32,128,19312.00
2,512,40,128,19504.00
2,512,64,128,20768.00
2,1024,8,128,21040.00
2,1024,16,128,22112.00
2,1024,32,128,23888.00
2,1024,40,128,26512.00
2,1024,64,128,36512.00
2,2048,8,128,22176.00
2,2048,16,128,23776.00
2,2048,32,128,40576.00
2,2048,40,128,42048.00
2,2048,64,128,57520.00
2,4096,8,128,24096.00
2,4096,16,128,40816.00
2,4096,32,128,62640.00
2,4096,40,128,69360.00
2,4096,64,128,101328.00
4,128,8,128,17456.00
4,128,16,128,17088.00
4,128,32,128,17328.00
4,128,40,128,18240.00
4,128,64,128,18496.00
4,256,8,128,18032.00
4,256,16,128,18208.00
4,256,32,128,18064.00
4,256,40,128,19328.00
4,256,64,128,20496.00
4,512,8,128,19584.00
4,512,16,128,19328.00
4,512,32,128,20896.00
4,512,40,128,26720.00
4,512,64,128,37072.00
4,1024,8,128,21584.00
4,1024,16,128,23808.00
4,1024,32,128,36560.00
4,1024,40,128,42544.00
4,1024,64,128,58064.00
4,2048,8,128,23904.00
4,2048,16,128,40672.00
4,2048,32,128,57504.00
4,2048,40,128,70672.00
4,2048,64,128,101344.00
4,4096,8,128,40864.00
4,4096,16,128,61984.00
4,4096,32,128,100848.00
4,4096,40,128,126736.00
4,4096,64,128,185344.00
8,128,8,128,17200.00
8,128,16,128,17312.00
8,128,32,128,18432.00
8,128,40,128,21056.00
8,128,64,128,23936.00
8,256,8,128,18144.00
8,256,16,128,18272.00
8,256,32,128,20608.00
8,256,40,128,28896.00
8,256,64,128,38272.00
8,512,8,128,19248.00
8,512,16,128,20848.00
8,512,32,128,37136.00
8,512,40,128,44224.00
8,512,64,128,58400.00
8,1024,8,128,23744.00
8,1024,16,128,36496.00
8,1024,32,128,58224.00
8,1024,40,128,72448.00
8,1024,64,128,100112.00
8,2048,8,128,40352.00
8,2048,16,128,57376.00
8,2048,32,128,100480.00
8,2048,40,128,134672.00
8,2048,64,128,184784.00
8,4096,8,128,62176.00
8,4096,16,128,100736.00
8,4096,32,128,184896.01
8,4096,40,128,247056.00
8,4096,64,128,350688.01
16,128,8,128,17088.00
16,128,16,128,18176.00
16,128,32,128,23504.00
16,128,40,128,30672.00
16,128,64,128,40112.00
16,256,8,128,17888.00
16,256,16,128,20384.00
16,256,32,128,37872.00
16,256,40,128,43312.00
16,256,64,128,59392.00
16,512,8,128,20816.00
16,512,16,128,36912.00
16,512,32,128,58448.00
16,512,40,128,69648.00
16,512,64,128,100640.00
16,1024,8,128,36528.00
16,1024,16,128,57968.00
16,1024,32,128,99824.00
16,1024,40,128,125360.00
16,1024,64,128,183888.00
16,2048,8,128,57408.00
16,2048,16,128,100688.00
16,2048,32,128,183616.00
16,2048,40,128,236384.00
16,2048,64,128,351120.00
16,4096,8,128,99952.00
16,4096,16,128,185456.00
16,4096,32,128,350399.99
16,4096,40,128,455231.99
16,4096,64,128,685968.01
32,128,8,128,18368.00
32,128,16,128,23872.00
32,128,32,128,40192.00
32,128,40,128,45568.00
32,128,64,128,62560.00
32,256,8,128,20480.00
32,256,16,128,38048.00
32,256,32,128,59136.00
32,256,40,128,69664.00
32,256,64,128,101168.00
32,512,8,128,37280.00
32,512,16,128,58416.00
32,512,32,128,101136.00
32,512,40,128,121648.00
32,512,64,128,184320.00
32,1024,8,128,58064.00
32,1024,16,128,100032.00
32,1024,32,128,184000.00
32,1024,40,128,226480.00
32,1024,64,128,352575.99
32,2048,8,128,100272.00
32,2048,16,128,184944.00
32,2048,32,128,351600.01
32,2048,40,128,436592.00
32,2048,64,128,690240.03
32,4096,8,128,184736.01
32,4096,16,128,351232.01
32,4096,32,128,685343.98
32,4096,40,128,855407.98
32,4096,64,128,1360751.99
64,128,8,128,23536.00
64,128,16,128,39808.00
64,128,32,128,62320.00
64,128,40,128,73056.00
64,128,64,128,105984.00
64,256,8,128,37904.00
64,256,16,128,59184.00
64,256,32,128,101104.00
64,256,40,128,122112.00
64,256,64,128,185696.00
64,512,8,128,58624.00
64,512,16,128,100864.00
64,512,32,128,184368.00
64,512,40,128,226368.00
64,512,64,128,353296.00
64,1024,8,128,100080.00
64,1024,16,128,185568.00
64,1024,32,128,352048.01
64,1024,40,128,436352.00
64,1024,64,128,684208.01
64,2048,8,128,184096.00
64,2048,16,128,351632.00
64,2048,32,128,690400.00
64,2048,40,128,850927.98
64,2048,64,128,1353071.99
64,4096,8,128,350896.00
64,4096,16,128,686080.01
64,4096,32,128,1361087.98
64,4096,40,128,1680624.01
64,4096,64,128,2693679.93
