batch_size,seq_len,n_heads,head_dim,latency_ns
1,128,8,128,78528.00
1,128,16,128,20512.00
1,128,32,128,19296.00
1,128,40,128,19312.00
1,128,64,128,19440.00
1,256,8,128,20144.00
1,256,16,128,20112.00
1,256,32,128,20384.00
1,256,40,128,20368.00
1,256,64,128,20896.00
1,512,8,128,22832.00
1,512,16,128,23088.00
1,512,32,128,24160.00
1,512,40,128,30640.00
1,512,64,128,31904.00
1,1024,8,128,29216.00
1,1024,16,128,30192.00
1,1024,32,128,43872.00
1,1024,40,128,57568.00
1,1024,64,128,72912.00
1,2048,8,128,42768.00
1,2048,16,128,68992.00
1,2048,32,128,125520.00
1,2048,40,128,152352.00
1,2048,64,128,231408.00
1,4096,8,128,120240.00
1,4096,16,128,225328.00
1,4096,32,128,436288.00
1,4096,40,128,542303.98
1,4096,64,128,863119.99
2,128,8,128,19344.00
2,128,16,128,19360.00
2,128,32,128,19552.00
2,128,40,128,19536.00
2,128,64,128,20320.00
2,256,8,128,20080.00
2,256,16,128,20176.00
2,256,32,128,21056.00
2,256,40,128,24928.00
2,256,64,128,25888.00
2,512,8,128,23312.00
2,512,16,128,24224.00
2,512,32,128,31984.00
2,512,40,128,39856.00
2,512,64,128,48496.00
2,1024,8,128,30320.00
2,1024,16,128,44496.00
2,1024,32,128,73392.00
2,1024,40,128,87312.00
2,1024,64,128,132176.00
2,2048,8,128,69232.00
2,2048,16,128,125936.00
2,2048,32,128,232464.00
2,2048,40,128,286480.01
2,2048,64,128,447472.01
2,4096,8,128,226111.99
2,4096,16,128,435743.99
2,4096,32,128,862576.01
2,4096,40,128,1079696.00
2,4096,64,128,1785360.04
4,128,8,128,19456.00
4,128,16,128,19392.00
4,128,32,128,20320.00
4,128,40,128,21776.00
4,128,64,128,22400.00
4,256,8,128,20288.00
4,256,16,128,21200.00
4,256,32,128,25728.00
4,256,40,128,31056.00
4,256,64,128,40016.00
4,512,8,128,24320.00
4,512,16,128,32096.00
4,512,32,128,48352.00
4,512,40,128,56160.00
4,512,64,128,80160.00
4,1024,8,128,44384.00
4,1024,16,128,72752.00
4,1024,32,128,132048.00
4,1024,40,128,160208.00
4,1024,64,128,245088.00
4,2048,8,128,126704.00
4,2048,16,128,233616.00
4,2048,32,128,446880.00
4,2048,40,128,556528.00
4,2048,64,128,881248.00
4,4096,8,128,437712.00
4,4096,16,128,862560.00
4,4096,32,128,1709904.02
4,4096,40,128,2315567.97
4,4096,64,128,3823023.92
8,128,8,128,19280.00
8,128,16,128,20208.00
8,128,32,128,22160.00
8,128,40,128,27776.00
8,128,64,128,38512.00
8,256,8,128,21296.00
8,256,16,128,25536.00
