op_type,numel,latency_ns
rmsnorm,4096,226143.99
silu,4096,41872.00
residual,4096,41392.00
rmsnorm,8192,223104.00
silu,8192,41488.00
residual,8192,40784.00
rmsnorm,16384,188160.00
silu,16384,30432.00
residual,16384,30240.00
rmsnorm,32768,140512.00
silu,32768,23872.00
residual,32768,22688.00
rmsnorm,65536,116112.00
silu,65536,20240.00
residual,65536,20320.00
rmsnorm,131072,104480.00
silu,131072,17920.00
residual,131072,17360.00
rmsnorm,262144,94544.00
silu,262144,15968.00
residual,262144,15344.00
rmsnorm,524288,86128.00
silu,524288,14896.00
residual,524288,14224.00
rmsnorm,1048576,79232.00
silu,1048576,13584.00
residual,1048576,13408.00
rmsnorm,2097152,74608.00
silu,2097152,13216.00
residual,2097152,12640.00
rmsnorm,4194304,111632.00
silu,4194304,12784.00
residual,4194304,12224.00
rmsnorm,8388608,219696.00
silu,8388608,15584.00
residual,8388608,23008.00
rmsnorm,16777216,415103.99
silu,16777216,29712.00
residual,16777216,39856.00
