M,N,K,latency_ns
1,128,128,15440.00
1,128,256,15200.00
1,128,512,15104.00
1,128,1024,15072.00
1,128,2048,15920.00
1,128,3072,17472.00
1,128,4096,17248.00
1,128,5120,17312.00
1,128,8192,16896.00
1,128,11008,16864.00
1,128,13824,16912.00
1,128,14336,16784.00
1,128,25600,16880.00
1,128,27648,16848.00
1,128,28672,17440.00
1,256,128,15248.00
1,256,256,15296.00
1,256,512,15360.00
1,256,1024,15344.00
1,256,2048,16096.00
1,256,3072,17504.00
1,256,4096,17488.00
1,256,5120,17456.00
1,256,8192,17120.00
1,256,11008,16784.00
1,256,13824,16816.00
1,256,14336,16784.00
1,256,25600,17632.00
1,256,27648,17792.00
1,256,28672,17680.00
1,512,128,14848.00
1,512,256,15008.00
1,512,512,14768.00
1,512,1024,14992.00
1,512,2048,15760.00
1,512,3072,16768.00
1,512,4096,17040.00
1,512,5120,16944.00
1,512,8192,16864.00
1,512,11008,16832.00
1,512,13824,17760.00
1,512,14336,17808.00
1,512,25600,19312.00
1,512,27648,19744.00
1,512,28672,19888.00
1,1024,128,14848.00
1,1024,256,14800.00
1,1024,512,14832.00
1,1024,1024,14752.00
1,1024,2048,15712.00
1,1024,3072,16768.00
1,1024,4096,16976.00
1,1024,5120,16784.00
1,1024,8192,17712.00
1,1024,11008,18288.00
1,1024,13824,19968.00
1,1024,14336,18736.00
1,1024,25600,31232.00
1,1024,27648,32320.00
1,1024,28672,32848.00
1,2048,128,15008.00
1,2048,256,14880.00
1,2048,512,14976.00
1,2048,1024,14944.00
1,2048,2048,15664.00
1,2048,3072,17056.00
1,2048,4096,17552.00
1,2048,5120,18208.00
1,2048,8192,19840.00
1,2048,11008,27376.00
1,2048,13824,32288.00
1,2048,14336,32848.00
1,2048,25600,46560.00
1,2048,27648,49408.00
1,2048,28672,50720.00
1,3072,128,14944.00
1,3072,256,14912.00
1,3072,512,14832.00
1,3072,1024,14784.00
1,3072,2048,15632.00
1,3072,3072,17936.00
1,3072,4096,18560.00
1,3072,5120,19504.00
1,3072,8192,30176.00
1,3072,11008,36032.00
1,3072,13824,41264.00
1,3072,14336,42080.00
1,3072,25600,63904.00
1,3072,27648,67792.00
1,3072,28672,69728.00
1,4096,128,15008.00
1,4096,256,14832.00
1,4096,512,14864.00
1,4096,1024,14912.00
