q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,latency_us
1,1,10,2,128,1,187.58
1,1,32,4,128,1,55.1
1,128,4,1,128,256,1400.0
1,128,5,1,128,64,7.68
1,128,8,1,128,1,188.48
1,128,10,2,128,16,15.14
1,128,20,4,128,32,1140.0
1,128,32,4,128,2,46.5
1,128,32,4,128,16,87.26
1,128,64,8,64,1,278.27
1,256,10,2,128,64,14.98
1,256,16,4,128,8,773.6
1,256,16,8,256,256,236.51
1,256,40,8,128,4,408.06
1,256,56,8,128,1,6890.0
1,512,5,1,128,8,21.28
1,512,5,1,128,64,105.38
1,512,8,1,64,128,7.36
1,512,8,1,128,4,78.82
1,512,8,2,128,2,1020.0
1,512,8,2,128,4,18.18
1,512,32,4,128,1,637.44
1,1024,2,1,256,2,12.16
1,1024,8,1,128,256,15.87
1,1024,16,4,128,4,7.42
1,1024,16,8,256,128,6.59
1,2048,8,1,128,128,90.46
1,2048,8,2,128,1,119.81
1,2048,14,2,128,4,7.94
1,2048,20,4,128,128,44.0
1,2048,28,4,128,1,712.77
1,2048,32,8,128,256,1410.0
1,2048,64,8,128,1,8.67
1,4096,10,2,128,128,16.06
1,4096,16,4,128,2,20.51
1,4096,16,8,256,4,14.91
1,4096,20,4,128,32,17.25
1,4096,56,8,128,1,399.97
1,4096,64,8,128,1,15.17
1,8192,5,1,128,32,407.84
1,8192,8,1,128,8,147.87
1,8192,14,2,128,2,115.2
1,8192,64,8,64,64,31.71
1,16384,4,2,256,32,388.35
1,16384,10,2,128,8,105.5
1,16384,10,2,128,16,212.06
1,16384,14,2,128,1,6.78
1,16384,32,8,128,4,11.07
1,32768,4,1,128,1,806.46
1,32768,4,1,128,16,56.86
1,32768,7,1,128,16,6.75
1,32768,8,1,64,8,6.14
1,32768,8,1,128,64,68.42
1,32768,8,2,128,8,10.69
1,32768,8,2,128,16,309.22
2,2,32,4,128,1,11.65
8,8,8,1,128,1,8.45
8,1024,8,1,64,1,1000.0
8,4096,8,1,128,1,13.18
8,4096,20,4,128,1,2460.0
8,4096,32,8,128,1,9.7
8,8192,10,2,128,1,116.51
8,16384,32,4,64,1,41.57
8,32768,64,8,64,1,6.88
16,16,2,1,256,1,11.49
16,16,8,1,128,1,10.62
16,16,16,4,128,1,17.09
32,32,16,2,64,1,14.78
32,32,16,2,128,1,10.98
32,32,16,8,256,1,1070.0
32,32,64,8,64,1,10.91
32,128,2,1,256,1,6.78
32,128,32,8,128,1,93.79
32,256,28,4,128,1,17.25
32,512,4,1,128,1,65.95
32,512,20,4,128,1,31.94
32,512,28,4,128,1,6.69
32,1024,2,1,256,1,16.8
32,1024,10,2,128,1,15.42
32,1024,16,4,128,1,11.78
32,1024,64,8,128,1,374.59
32,2048,28,4,128,1,198.66
32,4096,8,4,256,1,6110.0
32,8192,5,1,128,1,767.01
32,8192,8,1,128,1,50.54
32,8192,8,4,256,1,10.85
32,16384,16,8,256,1,11.3
32,32768,5,1,128,1,33.89
32,32768,8,1,64,1,42.27
32,32768,10,2,128,1,9.12
32,32768,32,4,128,1,21.02
32,32768,32,8,128,1,391.9
32,32768,40,8,128,1,99.97
32,32768,64,8,64,1,7.42
64,64,2,1,256,1,39.17
64,64,8,2,128,1,11.9
64,64,32,4,128,1,460.8
64,64,32,8,128,1,14.91
128,128,40,8,128,1,22.34
128,128,64,8,64,1,5.98
128,256,32,8,128,1,10.3
128,512,8,1,128,1,7.33
128,512,8,4,256,1,56.42
128,512,10,2,128,1,9.06
128,1024,2,1,256,1,159.97
128,1024,32,4,64,1,21.44
128,2048,8,1,128,1,32.74
128,2048,10,2,128,1,36.64
128,2048,14,2,128,1,83.23
128,2048,16,2,128,1,542.34
128,4096,16,2,128,1,13.98
128,4096,16,4,128,1,113.47
128,4096,56,8,128,1,139.2
128,8192,4,2,256,1,13.73
128,8192,5,1,128,1,62.46
128,8192,16,8,256,1,16.8
128,8192,20,4,128,1,6.85
128,8192,56,8,128,1,14.46
128,8192,64,8,64,1,25.63
128,8192,64,8,128,1,13.76
128,16384,4,1,128,1,59.46
128,16384,8,1,128,1,2810.0
128,32768,5,1,128,1,704.32
128,32768,16,2,64,1,579.71
128,32768,20,4,128,1,13.66
128,32768,32,4,64,1,7.9
128,32768,32,4,128,1,145.5
128,32768,64,8,64,1,8.35
256,256,7,1,128,1,48.54
256,256,40,8,128,1,9.54
512,512,2,1,256,1,310.11
512,512,64,8,64,1,7.74
512,1024,16,2,64,1,9.98
512,1024,40,8,128,1,15.39
512,1024,56,8,128,1,13.73
512,1024,64,8,64,1,6.94
512,2048,5,1,128,1,2080.0
512,2048,8,1,128,1,610.27
512,2048,32,8,128,1,188.67
512,2048,64,8,64,1,161.38
512,4096,5,1,128,1,21.95
512,4096,14,2,128,1,36.32
512,4096,16,2,64,1,9.12
512,8192,2,1,256,1,27.07
512,8192,5,1,128,1,13.86
512,8192,10,2,128,1,31.78
512,8192,16,2,64,1,208.74
512,8192,16,2,128,1,6.14
512,16384,7,1,128,1,169.66
512,16384,20,4,128,1,14.5
512,16384,32,4,64,1,126.34
512,16384,40,8,128,1,2790.0
512,32768,4,1,128,1,14.4
512,32768,7,1,128,1,15.42
512,32768,14,2,128,1,9.47
512,32768,16,2,64,1,326.88
512,32768,16,8,256,1,13.41
512,32768,28,4,128,1,303.1
1024,1024,4,1,128,1,8.19
1024,1024,8,1,64,1,1410.0
1024,1024,8,1,128,1,387.94
1024,1024,10,2,128,1,6.88
1024,1024,40,8,128,1,8.61
1024,1024,56,8,128,1,6460.0
1024,2048,8,1,64,1,509.66
1024,2048,32,4,128,1,17.7
1024,2048,64,8,64,1,59.9
1024,4096,5,1,128,1,15.04
1024,4096,8,2,128,1,55.04
1024,4096,14,2,128,1,73.22
1024,4096,32,8,128,1,14.94
