gpu,prefill_tokens,prefill_ms,decode_ref_ms,T32_ms,T1_ms,runs
H100,1,6.88,6.32,209.0,13.2,10
H100,64,6.65,6.41,211.8,13.1,10
H100,128,10.31,6.36,214.0,16.7,10
H100,192,10.71,6.37,214.5,17.1,10
H100,256,11.68,6.38,215.8,18.1,10
H100,384,14.81,6.33,217.4,21.1,10
H100,512,16.84,6.32,219.2,23.2,10
H100,768,20.17,6.34,223.0,26.5,10
H100,1024,23.55,6.33,226.0,29.9,10
H100,1536,30.44,6.34,233.4,36.8,10
H100,2048,36.2,6.43,242.0,42.6,10
H100,3072,41.58,6.7,256.1,48.3,10
H100,4096,46.08,7.07,272.3,53.1,10
H100,6144,52.77,7.7,299.1,60.5,10
H100,8192,62.36,8.17,323.7,70.5,10
