q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,causal,phase,latency_us
1,128,32,8,128,1,1,decode,151.06
1,128,32,8,128,2,1,decode,143.20
1,128,32,8,128,4,1,decode,142.51
1,128,32,8,128,8,1,decode,150.08
1,128,32,8,128,16,1,decode,196.56
1,128,32,8,128,32,1,decode,298.80
1,128,32,8,128,40,1,decode,351.62
1,128,32,8,128,64,1,decode,514.05
1,128,32,8,128,80,1,decode,622.24
1,128,32,8,128,120,1,decode,894.43
1,128,32,8,128,160,1,decode,1199.23
1,128,32,8,128,200,1,decode,1480.02
1,128,32,8,128,256,1,decode,1871.79
1,128,32,8,128,320,1,decode,2316.45
1,256,32,8,128,1,1,decode,143.63
1,256,32,8,128,2,1,decode,143.55
1,256,32,8,128,4,1,decode,143.20
1,256,32,8,128,8,1,decode,194.29
1,256,32,8,128,16,1,decode,295.02
1,256,32,8,128,32,1,decode,508.58
1,256,32,8,128,40,1,decode,618.61
1,256,32,8,128,64,1,decode,935.09
1,256,32,8,128,80,1,decode,1183.76
1,256,32,8,128,120,1,decode,1735.82
1,256,32,8,128,160,1,decode,2289.49
1,256,32,8,128,200,1,decode,2839.38
1,256,32,8,128,256,1,decode,3613.41
1,256,32,8,128,320,1,decode,4499.82
1,512,32,8,128,1,1,decode,143.15
1,512,32,8,128,2,1,decode,141.71
1,512,32,8,128,4,1,decode,195.18
1,512,32,8,128,8,1,decode,300.93
1,512,32,8,128,16,1,decode,513.38
1,512,32,8,128,32,1,decode,941.97
1,512,32,8,128,40,1,decode,1192.88
1,512,32,8,128,64,1,decode,1856.16
1,512,32,8,128,80,1,decode,2298.70
1,512,32,8,128,120,1,decode,3403.10
1,512,32,8,128,160,1,decode,4513.36
1,512,32,8,128,200,1,decode,5614.18
1,512,32,8,128,256,1,decode,7166.11
1,512,32,8,128,320,1,decode,8953.81
1,1024,32,8,128,1,1,decode,145.79
1,1024,32,8,128,2,1,decode,200.72
1,1024,32,8,128,4,1,decode,301.60
1,1024,32,8,128,8,1,decode,512.66
1,1024,32,8,128,16,1,decode,936.50
1,1024,32,8,128,32,1,decode,1841.33
1,1024,32,8,128,40,1,decode,2277.39
1,1024,32,8,128,64,1,decode,3583.74
1,1024,32,8,128,80,1,decode,4457.28
1,1024,32,8,128,120,1,decode,6641.78
1,1024,32,8,128,160,1,decode,8841.90
1,1024,32,8,128,200,1,decode,11018.10
1,1024,32,8,128,256,1,decode,14066.40
1,1024,32,8,128,320,1,decode,17591.44
1,2048,32,8,128,1,1,decode,207.97
1,2048,32,8,128,2,1,decode,307.63
1,2048,32,8,128,4,1,decode,515.44
1,2048,32,8,128,8,1,decode,930.77
1,2048,32,8,128,16,1,decode,1828.21
1,2048,32,8,128,32,1,decode,3548.02
1,2048,32,8,128,40,1,decode,4411.09
1,2048,32,8,128,64,1,decode,6993.18
1,2048,32,8,128,80,1,decode,8734.38
1,2048,32,8,128,120,1,decode,13039.62
1,2048,32,8,128,160,1,decode,17365.70
1,2048,32,8,128,200,1,decode,22080.54
1,2048,32,8,128,256,1,decode,27702.86
1,2048,32,8,128,320,1,decode,34652.15
1,4096,32,8,128,1,1,decode,299.92
1,4096,32,8,128,2,1,decode,506.46
1,4096,32,8,128,4,1,decode,918.83
1,4096,32,8,128,8,1,decode,1809.06
1,4096,32,8,128,16,1,decode,3518.30
1,4096,32,8,128,32,1,decode,6936.74
1,4096,32,8,128,40,1,decode,8663.58
1,4096,32,8,128,64,1,decode,13791.86
1,4096,32,8,128,80,1,decode,17241.86
1,4096,32,8,128,120,1,decode,25796.74
1,4096,32,8,128,160,1,decode,34373.22
1,4096,32,8,128,200,1,decode,42909.90
1,4096,32,8,128,256,1,decode,54869.10
1,8192,32,8,128,1,1,decode,517.76
1,8192,32,8,128,2,1,decode,942.82
1,8192,32,8,128,4,1,decode,1831.01
1,8192,32,8,128,8,1,decode,3570.11
1,8192,32,8,128,16,1,decode,7071.01
1,8192,32,8,128,32,1,decode,14072.40
1,8192,32,8,128,40,1,decode,17302.05
1,8192,32,8,128,64,1,decode,27589.28
1,8192,32,8,128,80,1,decode,34864.42
1,8192,32,8,128,120,1,decode,51640.77
1,16384,32,8,128,1,1,decode,939.14
1,16384,32,8,128,2,1,decode,1839.78
1,16384,32,8,128,4,1,decode,3753.63
1,16384,32,8,128,8,1,decode,7465.94
1,16384,32,8,128,16,1,decode,13871.92
1,16384,32,8,128,32,1,decode,27671.26
1,16384,32,8,128,40,1,decode,34600.62
1,16384,32,8,128,64,1,decode,55207.31
188,188,32,8,128,1,1,prefill,47.55
188,188,32,8,128,40,1,prefill,163.76
188,188,32,8,128,80,1,prefill,297.06
188,188,32,8,128,320,1,prefill,1091.23
4096,4096,32,8,128,1,1,prefill,529.26
4096,4096,32,8,128,2,1,prefill,924.82
8192,8192,32,8,128,1,1,prefill,1762.46
128,1024,32,8,128,1,0,cached_prefill,32.29
128,1024,32,8,128,64,0,cached_prefill,445.42
128,1024,32,8,128,256,0,cached_prefill,1784.69
128,4096,32,8,128,1,0,cached_prefill,54.11
128,4096,32,8,128,64,0,cached_prefill,1659.76
128,4096,32,8,128,256,0,cached_prefill,7211.94
128,8192,32,8,128,1,0,cached_prefill,89.71
128,8192,32,8,128,64,0,cached_prefill,3456.53
128,8192,32,8,128,256,0,cached_prefill,14294.78
128,16384,32,8,128,1,0,cached_prefill,159.01
128,16384,32,8,128,64,0,cached_prefill,6861.60
128,16384,32,8,128,256,0,cached_prefill,29493.34
