q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,causal,dtype_bytes,latency_us
1,1,10,2,128,1,1,2,642.12
1,1,32,4,128,1,1,2,1946.65
1,128,4,1,128,256,1,2,8.93
1,128,5,1,128,64,1,2,58.34
1,128,8,1,128,1,1,2,90.08
1,128,10,2,128,16,1,2,35.72
1,128,20,4,128,32,1,2,98.21
1,128,32,4,128,2,1,2,11.28
1,128,64,8,64,1,1,2,27.07
1,256,16,4,128,8,1,2,8.65
1,256,16,8,256,256,1,2,9.04
1,256,40,8,128,4,1,2,8.13
1,256,56,8,128,1,1,2,33.31
1,512,5,1,128,8,1,2,20.43
1,512,5,1,128,64,1,2,90.05
1,512,8,1,64,128,1,2,13.73
1,512,8,1,128,4,1,2,1815.20
1,512,8,2,128,2,1,2,10.86
1,512,8,2,128,4,1,2,16.18
1,512,32,4,128,1,1,2,53.55
1,1024,2,1,256,2,1,2,2258.68
1,1024,16,4,128,4,1,2,57.19
1,2048,8,1,128,128,1,2,11.36
1,2048,8,2,128,1,1,2,182.94
1,2048,14,2,128,4,1,2,11.21
1,2048,28,4,128,1,1,2,10.14
1,2048,32,8,128,256,1,2,9.98
1,2048,64,8,128,1,1,2,528.41
1,4096,10,2,128,128,1,2,12.51
1,4096,16,4,128,2,1,2,185.50
1,4096,16,8,256,4,1,2,9.66
1,4096,20,4,128,32,1,2,163.73
1,4096,64,8,128,1,1,2,11.20
1,8192,5,1,128,32,1,2,44.72
1,8192,8,1,128,8,1,2,284.75
1,8192,14,2,128,2,1,2,18.96
1,16384,4,2,256,32,1,2,169.85
1,16384,10,2,128,16,1,2,219.76
1,16384,32,8,128,4,1,2,19.09
1,32768,4,1,128,16,1,2,8.34
1,32768,8,1,64,8,1,2,51.49
1,32768,8,2,128,8,1,2,10.04
2,2,32,4,128,1,1,2,14.62
8,1024,8,1,64,1,1,2,97.74
8,4096,8,1,128,1,1,2,42.81
8,4096,20,4,128,1,1,2,177.84
8,4096,32,8,128,1,1,2,115.73
8,8192,10,2,128,1,1,2,20.55
8,16384,32,4,64,1,1,2,50.26
8,32768,64,8,64,1,1,2,21.23
16,16,2,1,256,1,1,2,13.47
16,16,8,1,128,1,1,2,8.80
16,16,16,4,128,1,1,2,83.62
32,32,16,2,128,1,1,2,501.94
32,128,32,8,128,1,1,2,17.49
32,512,4,1,128,1,1,2,80.34
32,512,20,4,128,1,1,2,8.45
32,512,28,4,128,1,1,2,244.53
32,1024,2,1,256,1,1,2,259.26
32,1024,10,2,128,1,1,2,21.20
32,1024,16,4,128,1,1,2,8.79
32,1024,64,8,128,1,1,2,370.64
32,2048,28,4,128,1,1,2,108.13
32,4096,8,4,256,1,1,2,20.53
32,16384,16,8,256,1,1,2,9.46
32,32768,5,1,128,1,1,2,308.03
32,32768,8,1,64,1,1,2,15.12
32,32768,32,4,128,1,1,2,9.80
32,32768,32,8,128,1,1,2,17.25
32,32768,40,8,128,1,1,2,32.38
32,32768,64,8,64,1,1,2,21.05
64,64,2,1,256,1,1,2,17.70
64,64,8,2,128,1,1,2,31.66
64,64,32,4,128,1,1,2,46.25
64,64,32,8,128,1,1,2,12.89
128,128,40,8,128,1,1,2,81.84
128,128,64,8,64,1,1,2,11.50
128,256,32,8,128,1,1,2,763.53
128,512,8,1,128,1,1,2,162.59
128,512,8,4,256,1,1,2,43.15
128,512,10,2,128,1,1,2,165.97
128,1024,2,1,256,1,1,2,118.28
128,1024,32,4,64,1,1,2,25.28
128,2048,8,1,128,1,1,2,12.38
128,2048,14,2,128,1,1,2,18.12
128,2048,16,2,128,1,1,2,14.96
128,4096,16,2,128,1,1,2,1057.56
128,4096,16,4,128,1,1,2,21.13
128,4096,56,8,128,1,1,2,59.02
128,8192,4,2,256,1,1,2,152.25
128,8192,5,1,128,1,1,2,649.58
128,8192,16,8,256,1,1,2,83.07
128,8192,20,4,128,1,1,2,51.84
128,8192,56,8,128,1,1,2,343.32
128,8192,64,8,64,1,1,2,584.90
128,8192,64,8,128,1,1,2,18.25
128,16384,4,1,128,1,1,2,117.36
128,16384,8,1,128,1,1,2,176.19
128,32768,5,1,128,1,1,2,12.96
128,32768,16,2,64,1,1,2,13.74
128,32768,20,4,128,1,1,2,261.23
128,32768,32,4,64,1,1,2,48.20
128,32768,32,4,128,1,1,2,46.67
256,256,7,1,128,1,1,2,552.66
256,256,40,8,128,1,1,2,19.23
512,512,2,1,256,1,1,2,9.47
512,512,64,8,64,1,1,2,189.15
512,1024,16,2,64,1,1,2,194.81
512,1024,40,8,128,1,1,2,57.97
512,1024,56,8,128,1,1,2,84.99
512,1024,64,8,64,1,1,2,10.77
512,2048,5,1,128,1,1,2,27.64
512,2048,32,8,128,1,1,2,88.44
512,2048,64,8,64,1,1,2,136.40
512,4096,14,2,128,1,1,2,97.81
512,4096,16,2,64,1,1,2,18.62
512,8192,2,1,256,1,1,2,335.48
512,8192,5,1,128,1,1,2,19.53
512,8192,10,2,128,1,1,2,220.56
512,8192,16,2,64,1,1,2,341.28
512,8192,16,2,128,1,1,2,20.08
512,16384,7,1,128,1,1,2,8.34
512,16384,20,4,128,1,1,2,1916.03
512,16384,32,4,64,1,1,2,36.26
512,16384,40,8,128,1,1,2,87.36
512,32768,4,1,128,1,1,2,75.19
512,32768,7,1,128,1,1,2,279.81
512,32768,16,8,256,1,1,2,10.88
1024,1024,4,1,128,1,1,2,8.16
1024,1024,8,1,64,1,1,2,33.42
1024,1024,8,1,128,1,1,2,32.17
1024,1024,10,2,128,1,1,2,144.42
1024,1024,40,8,128,1,1,2,46.40
1024,1024,56,8,128,1,1,2,45.66
1024,2048,8,1,64,1,1,2,348.20
1024,2048,32,4,128,1,1,2,35.68
1024,4096,5,1,128,1,1,2,178.15
1024,4096,8,2,128,1,1,2,26.71
1024,4096,32,8,128,1,1,2,1235.00
1024,8192,4,2,256,1,1,2,13.84
1024,8192,20,4,128,1,1,2,343.04
1024,16384,8,4,256,1,1,2,8.32
1024,16384,10,2,128,1,1,2,101.55
1024,32768,2,1,256,1,1,2,317.70
1024,32768,5,1,128,1,1,2,30.45
1024,32768,8,1,64,1,1,2,7.84
1024,32768,16,2,128,1,1,2,24.79
1024,32768,64,8,128,1,1,2,12.22
2048,2048,4,2,256,1,1,2,19.54
2048,2048,5,1,128,1,1,2,9.76
2048,2048,8,2,128,1,1,2,20.79
4096,4096,4,1,128,1,1,2,146.72
4096,4096,8,1,64,1,1,2,13.39
4096,4096,16,4,128,1,1,2,8.79
4096,4096,16,8,256,1,1,2,103.22
4096,4096,20,4,128,1,1,2,307.71
4096,4096,32,8,128,1,1,2,51.57
8192,8192,5,1,128,1,1,2,280.80
8192,8192,16,2,64,1,1,2,32.69
8192,8192,20,4,128,1,1,2,13.28
8192,8192,32,4,64,1,1,2,1894.85
8192,8192,56,8,128,1,1,2,367.79
