q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,phase
1,128,32,8,128,1,decode
1,256,32,8,128,1,decode
1,512,32,8,128,1,decode
1,1024,32,8,128,1,decode
1,2048,32,8,128,1,decode
1,4096,32,8,128,1,decode
1,8192,32,8,128,1,decode
1,16384,32,8,128,1,decode
1,32768,32,8,128,1,decode
64,64,32,8,128,1,full_prefill
128,128,32,8,128,1,full_prefill
256,256,32,8,128,1,full_prefill
512,512,32,8,128,1,full_prefill
1024,1024,32,8,128,1,full_prefill
2048,2048,32,8,128,1,full_prefill
4096,4096,32,8,128,1,full_prefill
8192,8192,32,8,128,1,full_prefill
8,1024,32,8,128,1,cached_prefill
8,2048,32,8,128,1,cached_prefill
8,4096,32,8,128,1,cached_prefill
8,8192,32,8,128,1,cached_prefill
8,16384,32,8,128,1,cached_prefill
8,32768,32,8,128,1,cached_prefill
32,1024,32,8,128,1,cached_prefill
32,2048,32,8,128,1,cached_prefill
32,4096,32,8,128,1,cached_prefill
32,8192,32,8,128,1,cached_prefill
32,16384,32,8,128,1,cached_prefill
32,32768,32,8,128,1,cached_prefill
128,1024,32,8,128,1,cached_prefill
128,2048,32,8,128,1,cached_prefill
128,4096,32,8,128,1,cached_prefill
128,8192,32,8,128,1,cached_prefill
128,16384,32,8,128,1,cached_prefill
128,32768,32,8,128,1,cached_prefill
256,1024,32,8,128,1,cached_prefill
256,2048,32,8,128,1,cached_prefill
256,4096,32,8,128,1,cached_prefill
256,8192,32,8,128,1,cached_prefill
256,16384,32,8,128,1,cached_prefill
256,32768,32,8,128,1,cached_prefill
512,1024,32,8,128,1,cached_prefill
512,2048,32,8,128,1,cached_prefill
512,4096,32,8,128,1,cached_prefill
512,8192,32,8,128,1,cached_prefill
512,16384,32,8,128,1,cached_prefill
512,32768,32,8,128,1,cached_prefill
1024,2048,32,8,128,1,cached_prefill
1024,4096,32,8,128,1,cached_prefill
1024,8192,32,8,128,1,cached_prefill
1024,16384,32,8,128,1,cached_prefill
1024,32768,32,8,128,1,cached_prefill
2048,4096,32,8,128,1,cached_prefill
2048,8192,32,8,128,1,cached_prefill
2048,16384,32,8,128,1,cached_prefill
2048,32768,32,8,128,1,cached_prefill
