M,N,K,dtype_bytes,latency_us
1,4096,4096,2,30.64
1,1024,4096,2,20.62
1,1024,4096,2,20.53
1,4096,4096,2,37.48
1,14336,4096,2,57.13
1,14336,4096,2,36.68
1,4096,14336,2,55.90
64,4096,4096,2,31.95
64,1024,4096,2,20.49
64,1024,4096,2,20.62
64,4096,4096,2,32.42
64,14336,4096,2,59.91
64,14336,4096,2,39.24
64,4096,14336,2,60.62
116,4096,4096,2,30.41
116,1024,4096,2,15.77
116,1024,4096,2,18.18
116,4096,4096,2,29.11
116,14336,4096,2,62.62
116,14336,4096,2,40.59
116,4096,14336,2,64.19
256,4096,4096,2,33.87
256,1024,4096,2,11.61
256,1024,4096,2,18.76
256,4096,4096,2,37.23
256,14336,4096,2,65.97
256,14336,4096,2,45.90
256,4096,14336,2,73.28
500,4096,4096,2,40.96
500,1024,4096,2,10.72
500,1024,4096,2,18.94
500,4096,4096,2,33.92
500,14336,4096,2,108.60
500,14336,4096,2,85.96
500,4096,14336,2,85.44
1024,4096,4096,2,41.72
1024,1024,4096,2,13.94
1024,1024,4096,2,18.60
1024,4096,4096,2,41.78
1024,14336,4096,2,154.75
1024,14336,4096,2,147.92
1024,4096,14336,2,149.40
2000,4096,4096,2,87.53
2000,1024,4096,2,22.82
2000,1024,4096,2,21.08
2000,4096,4096,2,88.22
2000,14336,4096,2,291.05
2000,14336,4096,2,287.95
2000,4096,14336,2,291.16
4096,4096,4096,2,182.44
4096,1024,4096,2,43.31
4096,1024,4096,2,47.21
4096,4096,4096,2,187.38
4096,14336,4096,2,611.95
4096,14336,4096,2,607.50
4096,4096,14336,2,600.51
8192,4096,4096,2,374.81
8192,1024,4096,2,93.66
8192,1024,4096,2,95.23
8192,4096,4096,2,384.14
8192,14336,4096,2,1257.92
8192,14336,4096,2,1250.22
8192,4096,14336,2,1230.58
