M,N,K,latency_us
2,1024,4096,20.535
2,1024,6144,27.409
2,1024,7168,33.856
2,1024,8192,34.507
2,2048,3584,30.583
2,3584,4096,59.531
2,3584,14336,188.505
2,4096,3584,63.436
2,4096,4096,66.476
2,4096,12800,192.272
2,4096,14336,226.297
2,6144,6144,136.301
2,6144,16384,353.423
2,7168,7168,212.857
2,7168,20480,536.633
2,8192,8192,253.144
2,8192,28672,953.873
2,8192,29568,938.307
2,12800,4096,189.731
2,14336,3584,194.777
2,14336,4096,215.736
2,16384,6144,373.954
2,20480,7168,570.55
2,28672,8192,814.964
2,29568,8192,857.851
2,32000,4096,454.358
2,49152,4096,711.031
2,64000,7168,1722.0
2,100352,6144,2120.0
2,128256,4096,1810.0
2,128256,8192,3640.0
2,152064,8192,4296.0
2,256000,3584,3180.0
4,1024,4096,20.508
4,1024,6144,27.526
4,1024,7168,34.012
4,1024,8192,34.72
4,2048,3584,30.701
4,3584,4096,58.838
4,3584,14336,190.6
4,4096,3584,62.708
4,4096,4096,66.892
4,4096,12800,197.666
4,4096,14336,231.01
4,6144,6144,136.225
4,6144,16384,354.157
4,7168,7168,210.918
4,7168,20480,515.607
4,8192,8192,243.88
4,8192,28672,910.771
4,8192,29568,891.151
4,12800,4096,190.383
4,14336,3584,195.664
4,14336,4096,215.651
4,16384,6144,375.024
4,20480,7168,573.403
4,28672,8192,819.201
4,29568,8192,860.599
4,32000,4096,459.242
4,49152,4096,709.611
4,64000,7168,1731.0
4,100352,6144,2130.0
4,128256,4096,1820.0
4,128256,8192,3650.0
4,152064,8192,4393.0
4,256000,3584,4638.0
8,1024,4096,20.617
8,1024,6144,28.062
8,1024,7168,34.238
8,1024,8192,34.859
8,2048,3584,30.797
8,3584,4096,59.584
8,3584,14336,192.455
8,4096,3584,71.622
8,4096,4096,67.868
8,4096,12800,198.913
8,4096,14336,233.4
8,6144,6144,136.758
8,6144,16384,355.892
8,7168,7168,213.302
8,7168,20480,519.416
8,8192,8192,259.987
8,8192,28672,912.681
8,8192,29568,895.948
8,12800,4096,187.277
8,14336,3584,196.595
8,14336,4096,214.733
8,16384,6144,525.525
8,20480,7168,578.825
8,28672,8192,822.511
8,29568,8192,868.937
8,32000,4096,461.733
8,49152,4096,717.889
8,64000,7168,1747.0
8,100352,6144,2140.0
8,128256,4096,1830.0
8,128256,8192,3668.0
8,152064,8192,4418.0
8,256000,3584,4656.0
16,1024,4096,20.656
16,1024,6144,28.25
16,1024,7168,34.902
16,1024,8192,35.456
16,2048,3584,31.514
16,3584,4096,61.534
16,3584,14336,197.276
16,4096,3584,73.212
16,4096,4096,79.689
16,4096,12800,207.373
16,4096,14336,246.743
16,6144,6144,138.13
16,6144,16384,359.734
16,7168,7168,332.899
16,7168,20480,534.2
16,8192,8192,259.487
16,8192,28672,1389.0
16,8192,29568,1391.0
16,12800,4096,192.503
16,14336,3584,293.126
16,14336,4096,231.5
16,16384,6144,529.213
16,20480,7168,598.726
16,28672,8192,827.983
16,29568,8192,880.563
16,32000,4096,464.334
16,49152,4096,735.997
16,64000,7168,2574.0
16,100352,6144,3225.0
16,128256,4096,1891.0
16,128256,8192,3738.0
16,152064,8192,4452.0
16,256000,3584,4699.0
32,1024,4096,32.935
32,1024,6144,45.178
32,1024,7168,50.889
32,1024,8192,52.394
32,2048,3584,35.711
32,3584,4096,77.336
32,3584,14336,352.285
32,4096,3584,101.267
32,4096,4096,77.514
32,4096,12800,345.152
32,4096,14336,389.972
32,6144,6144,257.651
32,6144,16384,640.181
32,7168,7168,334.467
32,7168,20480,859.583
32,8192,8192,259.938
32,8192,28672,1388.0
32,8192,29568,1395.0
32,12800,4096,227.074
32,14336,3584,298.023
32,14336,4096,223.488
32,16384,6144,545.171
32,20480,7168,1033.0
32,28672,8192,926.941
32,29568,8192,931.278
32,32000,4096,480.567
32,49152,4096,745.523
