M,N,K,latency_us
1,2048,3584,28.95
1,3584,4096,54.089
1,3584,14336,154.96
1,4096,3584,48.479
1,4096,4096,54.256
1,4096,12800,155.371
1,4096,14336,158.164
1,6144,6144,95.493
1,7168,7168,132.298
1,8192,8192,164.832
1,8192,28672,588.95
1,8192,29568,611.202
1,12800,4096,144.465
1,14336,3584,150.576
1,14336,4096,168.189
1,16384,6144,284.256
1,20480,7168,377.6
1,28672,8192,607.181
1,29568,8192,642.067
1,32000,4096,385.427
1,49152,4096,552.124
1,64000,7168,1190.0
2,1024,4096,25.452
2,1024,6144,33.134
2,1024,7168,37.486
2,1024,8192,41.385
2,2048,3584,26.703
2,3584,4096,54.493
2,3584,14336,173.035
2,4096,3584,48.484
2,4096,4096,54.512
2,4096,12800,155.445
2,4096,14336,173.674
2,6144,6144,97.545
2,6144,16384,282.147
2,7168,7168,144.837
2,7168,20480,394.826
2,8192,8192,206.854
2,8192,28672,606.894
2,8192,29568,630.269
2,12800,4096,124.573
2,14336,3584,142.89
2,14336,4096,160.432
2,16384,6144,284.62
2,20480,7168,377.987
2,28672,8192,607.779
2,29568,8192,620.694
2,32000,4096,386.003
2,49152,4096,552.694
2,64000,7168,1150.0
2,100352,6144,1530.0
2,128256,4096,1280.0
2,128256,8192,2580.0
2,152064,8192,3003.0
2,256000,3584,2220.0
4,1024,4096,25.544
4,1024,6144,33.162
4,1024,7168,37.52
4,1024,8192,41.41
4,2048,3584,26.729
4,3584,4096,53.8
4,3584,14336,173.183
4,4096,3584,48.132
4,4096,4096,53.922
4,4096,12800,155.72
4,4096,14336,173.865
4,6144,6144,130.388
4,6144,16384,282.559
4,7168,7168,144.984
4,7168,20480,395.181
4,8192,8192,207.002
4,8192,28672,607.699
4,8192,29568,631.422
4,12800,4096,124.984
4,14336,3584,142.941
4,14336,4096,160.478
4,16384,6144,285.28
4,20480,7168,378.863
4,28672,8192,611.394
4,29568,8192,621.414
4,32000,4096,386.486
4,49152,4096,553.303
4,64000,7168,1150.0
4,100352,6144,1530.0
4,128256,4096,1284.0
4,128256,8192,2583.0
4,152064,8192,3008.0
4,256000,3584,2221.0
8,1024,4096,25.482
8,1024,6144,33.221
8,1024,7168,37.53
8,1024,8192,41.422
8,2048,3584,26.721
8,3584,4096,53.849
8,3584,14336,173.381
8,4096,3584,48.126
8,4096,4096,54.105
8,4096,12800,155.757
8,4096,14336,173.697
8,6144,6144,107.632
8,6144,16384,283.727
8,7168,7168,145.498
8,7168,20480,397.061
8,8192,8192,207.514
8,8192,28672,609.424
8,8192,29568,632.689
8,12800,4096,125.979
8,14336,3584,143.085
8,14336,4096,160.439
8,16384,6144,286.153
8,20480,7168,379.942
8,28672,8192,612.547
8,29568,8192,622.013
8,32000,4096,387.249
8,49152,4096,555.207
8,64000,7168,1159.0
8,100352,6144,1532.0
8,128256,4096,1290.0
8,128256,8192,2590.0
8,152064,8192,3013.0
8,256000,3584,2230.0
16,1024,4096,25.631
16,1024,6144,33.149
16,1024,7168,37.563
16,1024,8192,41.438
16,2048,3584,27.122
16,3584,4096,53.95
16,3584,14336,173.421
16,4096,3584,48.302
16,4096,4096,54.106
16,4096,12800,155.691
16,4096,14336,173.708
16,6144,6144,107.906
16,6144,16384,289.185
16,7168,7168,146.71
16,7168,20480,401.718
16,8192,8192,209.014
16,8192,28672,612.425
16,8192,29568,635.665
16,12800,4096,146.503
16,14336,3584,143.36
16,14336,4096,160.739
16,16384,6144,288.589
16,20480,7168,383.34
16,28672,8192,620.535
16,29568,8192,623.578
16,32000,4096,389.951
16,49152,4096,558.184
16,64000,7168,1167.0
16,100352,6144,1535.0
16,128256,4096,1290.0
16,128256,8192,2597.0
16,152064,8192,3022.0
16,256000,3584,2239.0
32,1024,4096,53.087
32,1024,6144,33.264
32,1024,7168,37.621
32,1024,8192,31.121
32,2048,3584,47.204
32,3584,4096,54.303
32,3584,14336,174.741
32,4096,3584,49.035
32,4096,4096,54.464
32,4096,12800,157.426
32,4096,14336,175.097
32,6144,6144,148.892
32,6144,16384,385.527
32,7168,7168,172.479
32,7168,20480,486.577
32,8192,8192,196.681
32,8192,28672,678.073
32,8192,29568,698.949
32,12800,4096,207.386
32,14336,3584,179.358
32,14336,4096,203.127
32,16384,6144,380.802
32,20480,7168,394.208
32,28672,8192,650.638
32,29568,8192,808.698
32,32000,4096,410.106
32,49152,4096,518.385
32,64000,7168,1238.0
32,100352,6144,1551.0
32,128256,4096,1330.0
32,128256,8192,2718.0
32,152064,8192,3164.0
32,256000,3584,2231.0
64,1024,4096,18.493
64,1024,6144,24.473
