M,N,K
1,512,2880
2,512,2880
4,512,2880
8,512,2880
16,512,2880
32,512,2880
64,512,2880
128,512,2880
256,512,2880
512,512,2880
1024,512,2880
2048,512,2880
4096,512,2880
8192,512,2880
1,512,3584
2,512,3584
4,512,3584
8,512,3584
16,512,3584
32,512,3584
64,512,3584
128,512,3584
256,512,3584
512,512,3584
1024,512,3584
2048,512,3584
4096,512,3584
8192,512,3584
1,1024,4096
2,1024,4096
4,1024,4096
8,1024,4096
16,1024,4096
32,1024,4096
64,1024,4096
128,1024,4096
256,1024,4096
512,1024,4096
1024,1024,4096
2048,1024,4096
4096,1024,4096
8192,1024,4096
1,1024,5120
2,1024,5120
4,1024,5120
8,1024,5120
16,1024,5120
32,1024,5120
64,1024,5120
128,1024,5120
256,1024,5120
512,1024,5120
1024,1024,5120
2048,1024,5120
4096,1024,5120
8192,1024,5120
1,1024,7168
2,1024,7168
4,1024,7168
8,1024,7168
16,1024,7168
32,1024,7168
64,1024,7168
128,1024,7168
256,1024,7168
512,1024,7168
1024,1024,7168
2048,1024,7168
4096,1024,7168
8192,1024,7168
1,1024,8192
2,1024,8192
4,1024,8192
8,1024,8192
16,1024,8192
32,1024,8192
64,1024,8192
128,1024,8192
256,1024,8192
512,1024,8192
1024,1024,8192
2048,1024,8192
4096,1024,8192
8192,1024,8192
1,2048,3584
2,2048,3584
4,2048,3584
8,2048,3584
16,2048,3584
32,2048,3584
64,2048,3584
128,2048,3584
256,2048,3584
512,2048,3584
1024,2048,3584
2048,2048,3584
4096,2048,3584
8192,2048,3584
1,2880,2880
2,2880,2880
4,2880,2880
8,2880,2880
16,2880,2880
32,2880,2880
64,2880,2880
128,2880,2880
256,2880,2880
512,2880,2880
1024,2880,2880
2048,2880,2880
4096,2880,2880
8192,2880,2880
1,2880,4096
2,2880,4096
4,2880,4096
8,2880,4096
16,2880,4096
32,2880,4096
64,2880,4096
128,2880,4096
256,2880,4096
512,2880,4096
1024,2880,4096
2048,2880,4096
4096,2880,4096
8192,2880,4096
1,3584,3584
2,3584,3584
4,3584,3584
8,3584,3584
16,3584,3584
32,3584,3584
64,3584,3584
128,3584,3584
256,3584,3584
512,3584,3584
1024,3584,3584
2048,3584,3584
4096,3584,3584
8192,3584,3584
1,3584,4096
2,3584,4096
4,3584,4096
8,3584,4096
16,3584,4096
32,3584,4096
64,3584,4096
128,3584,4096
256,3584,4096
512,3584,4096
1024,3584,4096
2048,3584,4096
4096,3584,4096
8192,3584,4096
1,3584,14336
2,3584,14336
4,3584,14336
8,3584,14336
