q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,latency_us
1,128,32,8,128,1,10.8
1,256,32,8,128,1,8.29
1,512,32,8,128,1,10.34
1,1024,32,8,128,1,13.61
1,2048,32,8,128,1,19.95
1,4096,32,8,128,1,30.81
1,8192,32,8,128,1,55.34
1,16384,32,8,128,1,98.02
1,32768,32,8,128,1,10.57
8,1024,32,8,128,1,54.84
8,2048,32,8,128,1,97.99
8,4096,32,8,128,1,11.59
8,8192,32,8,128,1,14.21
8,16384,32,8,128,1,20.48
8,32768,32,8,128,1,31.33
32,1024,32,8,128,1,55.78
32,2048,32,8,128,1,98.44
32,4096,32,8,128,1,13.34
32,8192,32,8,128,1,17.73
32,16384,32,8,128,1,26.24
32,32768,32,8,128,1,44.66
64,64,32,8,128,1,13.68
128,128,32,8,128,1,21.18
128,1024,32,8,128,1,83.07
128,2048,32,8,128,1,153.07
128,4096,32,8,128,1,19.6
128,8192,32,8,128,1,27.76
128,16384,32,8,128,1,46.14
128,32768,32,8,128,1,83.06
256,256,32,8,128,1,145.69
256,1024,32,8,128,1,151.27
256,2048,32,8,128,1,284.48
256,4096,32,8,128,1,63.34
256,8192,32,8,128,1,235.34
256,16384,32,8,128,1,886.1
256,32768,32,8,128,1,204.36
512,512,32,8,128,1,1402.72
512,1024,32,8,128,1,758.84
512,2048,32,8,128,1,1241.29
512,4096,32,8,128,1,1468.01
512,8192,32,8,128,1,3850.0
1024,1024,32,8,128,1,11.23
2048,2048,32,8,128,1,13.97
4096,4096,32,8,128,1,20.16
8192,8192,32,8,128,1,30.96
