prefill_tokens,gemm_compiled_ms,elementwise_ms,kv_write_ms,other_ms,fa3_ms,total_ms,reference_vllm_prefill_ms,sanity_ratio,share_gemm,share_elementwise,share_kv_write,share_other
16,5.215024,0.702797,0.077048,0.004656,0.727142,6.726667,6.726667,1.000000,0.869240,0.117142,0.012842,0.000776
64,5.147306,0.695020,0.075912,0.004620,0.727142,6.650000,6.650000,1.000000,0.869058,0.117345,0.012817,0.000780
192,8.663923,1.168426,0.127849,0.007756,0.742045,10.710000,10.710000,1.000000,0.869178,0.117218,0.012826,0.000778
384,12.218870,1.643928,0.181001,0.010859,0.755342,14.810000,14.810000,1.000000,0.869382,0.116967,0.012878,0.000773
768,16.742595,2.266580,0.248782,0.014793,0.897250,20.170000,20.170000,1.000000,0.868718,0.117605,0.012909,0.000768
1024,19.611714,2.635665,0.291558,0.017169,0.993894,23.550000,23.550000,1.000000,0.869464,0.116849,0.012926,0.000761
1536,24.906964,3.332548,0.374030,0.021458,1.805001,30.440000,30.440000,1.000000,0.869808,0.116380,0.013062,0.000749
3072,31.688393,4.198280,0.485314,0.026173,5.181840,41.580000,41.580000,1.000000,0.870604,0.115343,0.013333,0.000719
4096,33.902519,4.458640,0.522563,0.026847,7.169430,46.080000,46.080000,1.000000,0.871293,0.114587,0.013430,0.000690
6144,29.199595,3.773826,0.451911,0.021372,19.323295,52.770000,52.770000,1.000000,0.873019,0.112831,0.013511,0.000639
8192,30.170331,3.756161,0.465027,0.021881,27.946600,62.360000,62.360000,1.000000,0.876703,0.109148,0.013513,0.000636
