gpu,batch_size,context_len,bucket,kernel_name,implementation,count,dtype,warmups,repeats,inner_iters,latency_ms_min,latency_ms_median,latency_ms_mean,latency_ms_p90
H100,64,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.0049136,0.004992,0.00503264,0.00513568
H100,64,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.0123072,0.0125008,0.0126112,0.0129304
H100,64,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.00516,0.0052432,0.00527712,0.00540176
H100,128,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.0046656,0.0047936,0.00481387,0.00492864
H100,128,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.014152,0.0142312,0.0142287,0.0142728
H100,128,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0052304,0.0052944,0.0053432,0.00549856
H100,256,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.004624,0.0047744,0.00485579,0.00505424
H100,256,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.0225488,0.022716,0.0227166,0.022811
H100,256,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0051456,0.00524,0.00525579,0.0053664
H100,512,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.0047904,0.0048408,0.00486741,0.0048832
H100,512,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.0485744,0.048724,0.048728,0.048808
H100,512,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0071504,0.0072144,0.0072184,0.00725664
H100,1024,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.0064848,0.0065408,0.00654992,0.00658384
H100,1024,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.091824,0.0919656,0.0919627,0.0920602
H100,1024,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0118416,0.0118936,0.0119044,0.0119328
H100,2048,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.010264,0.0105912,0.0105716,0.0106941
H100,2048,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.173118,0.173286,0.173299,0.173417
H100,2048,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0203488,0.0204088,0.020412,0.020464
H100,4096,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.027112,0.0272224,0.0272249,0.0272907
H100,4096,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.334781,0.334974,0.334992,0.33513
H100,4096,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.0570944,0.0572272,0.0572217,0.0573117
H100,8192,1,norm_residual,rms_norm,vllm,20,bf16,10,30,20,0.049328,0.0494816,0.0494698,0.0495522
H100,8192,1,ffn_activation,silu_and_mul,torch_reference,20,bf16,10,30,20,0.658738,0.658898,0.659003,0.65921
H100,8192,1,kv_rope_cache,rotary_embedding,vllm,20,bf16,10,30,20,0.11264,0.112827,0.112821,0.112991
