gpu,batch_size,op_name,m,n,k,dtype,warmups,repeats,inner_iters,calls_per_decode_step,latency_ms_min,latency_ms_median,latency_ms_mean,latency_ms_p90,decode_step_contribution_ms_median
H100,1,qkv_fused,1,6144,4096,bf16,10,30,20,32,0.0246016,0.0247856,0.0247752,0.0248522,0.793139
H100,1,o_proj,1,4096,4096,bf16,10,30,20,32,0.0105728,0.0106672,0.0106784,0.0107179,0.34135
H100,1,gate_up_fused,1,28672,4096,bf16,10,30,20,32,0.0780976,0.0782976,0.0782802,0.0783856,2.50552
H100,1,down_proj,1,4096,14336,bf16,10,30,20,32,0.0450208,0.0451376,0.0451344,0.0452387,1.4444
H100,64,qkv_fused,64,6144,4096,bf16,10,30,20,32,0.0223248,0.0224768,0.0224844,0.0225816,0.719258
H100,64,o_proj,64,4096,4096,bf16,10,30,20,32,0.0101152,0.0101784,0.0102028,0.0102387,0.325709
H100,64,gate_up_fused,64,28672,4096,bf16,10,30,20,32,0.0811152,0.0812288,0.081234,0.0813203,2.59932
H100,64,down_proj,64,4096,14336,bf16,10,30,20,32,0.0478368,0.0479488,0.047963,0.0480568,1.53436
H100,128,qkv_fused,128,6144,4096,bf16,10,30,20,32,0.0222352,0.0223304,0.0223327,0.0224202,0.714573
H100,128,o_proj,128,4096,4096,bf16,10,30,20,32,0.0158704,0.015908,0.0161738,0.0159531,0.509056
H100,128,gate_up_fused,128,28672,4096,bf16,10,30,20,32,0.0856256,0.0858184,0.0858613,0.0860624,2.74619
H100,128,down_proj,128,4096,14336,bf16,10,30,20,32,0.05332,0.0536848,0.053702,0.0538958,1.71791
H100,256,qkv_fused,256,6144,4096,bf16,10,30,20,32,0.0263664,0.0264568,0.0264539,0.0265286,0.846618
H100,256,o_proj,256,4096,4096,bf16,10,30,20,32,0.0191296,0.0192728,0.0192642,0.0193546,0.61673
H100,256,gate_up_fused,256,28672,4096,bf16,10,30,20,32,0.0997888,0.100183,0.10093,0.104398,3.20586
H100,256,down_proj,256,4096,14336,bf16,10,30,20,32,0.0556384,0.0561152,0.0560939,0.0564286,1.79569
H100,512,qkv_fused,512,6144,4096,bf16,10,30,20,32,0.0379328,0.0403304,0.0395672,0.040475,1.29057
H100,512,o_proj,512,4096,4096,bf16,10,30,20,32,0.0257824,0.0259872,0.026146,0.0265046,0.83159
H100,512,gate_up_fused,512,28672,4096,bf16,10,30,20,32,0.166243,0.186604,0.181387,0.190479,5.97133
H100,512,down_proj,512,4096,14336,bf16,10,30,20,32,0.0887584,0.0901,0.0917673,0.0947395,2.8832
H100,1024,qkv_fused,1024,6144,4096,bf16,10,30,20,32,0.0834688,0.0838048,0.0841468,0.08502,2.68175
H100,1024,o_proj,1024,4096,4096,bf16,10,30,20,32,0.0553072,0.0564744,0.0562551,0.0568373,1.80718
H100,1024,gate_up_fused,1024,28672,4096,bf16,10,30,20,32,0.343878,0.366032,0.3634,0.370093,11.713
H100,1024,down_proj,1024,4096,14336,bf16,10,30,20,32,0.180762,0.182774,0.18347,0.187157,5.84878
H100,2048,qkv_fused,2048,6144,4096,bf16,10,30,20,32,0.163738,0.164983,0.164897,0.165717,5.27946
H100,2048,o_proj,2048,4096,4096,bf16,10,30,20,32,0.104702,0.106014,0.106881,0.108339,3.39244
H100,2048,gate_up_fused,2048,28672,4096,bf16,10,30,20,32,0.66424,0.729077,0.727571,0.741899,23.3305
H100,2048,down_proj,2048,4096,14336,bf16,10,30,20,32,0.345434,0.354518,0.353011,0.358802,11.3446
H100,4096,qkv_fused,4096,6144,4096,bf16,10,30,20,32,0.30077,0.319296,0.315961,0.319842,10.2175
H100,4096,o_proj,4096,4096,4096,bf16,10,30,20,32,0.210768,0.211558,0.212128,0.21564,6.76984
H100,4096,gate_up_fused,4096,28672,4096,bf16,10,30,20,32,1.42326,1.45302,1.45263,1.46542,46.4965
H100,4096,down_proj,4096,4096,14336,bf16,10,30,20,32,0.688747,0.70484,0.703519,0.711476,22.5549
H100,8192,qkv_fused,8192,6144,4096,bf16,10,30,20,32,0.623589,0.649524,0.645843,0.652844,20.7848
H100,8192,o_proj,8192,4096,4096,bf16,10,30,20,32,0.411174,0.419654,0.418251,0.421743,13.4289
H100,8192,gate_up_fused,8192,28672,4096,bf16,10,30,20,32,2.88408,2.91367,2.91504,2.92171,93.2374
H100,8192,down_proj,8192,4096,14336,bf16,10,30,20,32,1.39791,1.40972,1.41091,1.41911,45.111
