C,avg_ISL,avg_OSL,eff_OI,T_obs,CF_GB,tok_s,rps,workload
1,187.4600,280.5200,1.6611,4.4806,70.0537,64.0093,0.1368,chat-long
10,162.0102,295.4467,14.8724,37.6302,70.5075,537.5744,1.1751,chat-long
20,162.0102,296.3299,28.5897,64.2315,71.0164,917.5926,2.0020,chat-long
40,161.5152,297.5303,53.0423,100.1764,72.0335,1431.0908,3.1175,chat-long
80,161.5152,298.1667,92.9806,122.9334,74.0711,1756.1916,3.8205,chat-long
120,163.7857,304.1218,124.4708,144.7848,76.2098,2068.3547,4.4204,chat-long
160,170.4151,303.5409,151.6159,152.5111,78.4459,2178.7293,4.5969,chat-long
200,171.8291,299.0151,173.1065,163.5689,80.5296,2336.6993,4.9628,chat-long
256,176.0706,290.8882,198.2685,175.7105,83.4853,2510.1500,5.3755,chat-long
320,175.0721,288.5188,218.9574,184.2801,86.7422,2632.5731,5.6787,chat-long
1,136.5000,292.3800,1.4609,3.9432,70.0463,56.3310,0.1313,chat-medium
10,168.9350,281.1950,15.3506,38.7534,70.5071,553.6197,1.2299,chat-medium
20,168.9350,281.1350,29.4927,68.2032,71.0142,974.3320,2.1648,chat-medium
40,168.9350,284.0100,54.5261,104.4439,72.0378,1492.0560,3.2941,chat-medium
80,168.9350,285.4800,95.1304,126.4904,74.0852,1807.0064,3.9766,chat-medium
120,158.6917,279.6250,124.3249,145.4062,75.8688,2077.2312,4.7391,chat-medium
160,151.4469,271.8719,146.8801,168.5118,77.5336,2407.3113,5.6868,chat-medium
200,157.5475,274.8025,168.6415,168.6711,79.6649,2409.5869,5.5732,chat-medium
256,157.5898,277.0117,191.1130,175.0477,82.4192,2500.6819,5.7540,chat-medium
320,150.7677,281.3422,208.6371,185.2458,85.2798,2646.3686,6.1243,chat-medium
1,127.3400,148.7600,1.8428,4.8589,70.0330,69.4130,0.2514,chat-short
10,137.9000,166.6350,17.1571,43.4592,70.3624,620.8456,2.0387,chat-short
20,137.9000,166.8350,32.3217,77.0043,70.7252,1100.0621,3.6099,chat-short
40,137.9000,163.9200,58.2400,125.7332,71.4409,1796.1887,5.9512,chat-short
80,137.9000,166.6650,96.0890,165.0681,72.8997,2358.1156,7.7426,chat-short
120,141.2833,171.2500,124.1180,200.1123,74.4612,2858.7474,9.1470,chat-short
160,130.5531,168.4625,139.8851,222.3898,75.6304,3176.9967,10.6249,chat-short
200,128.0225,166.8825,153.8359,241.3366,76.9292,3447.6660,11.6908,chat-short
256,127.4590,166.8438,169.7165,255.7193,78.8450,3653.1330,12.4128,chat-short
320,126.2297,166.5406,182.7413,266.0640,80.9838,3800.9148,12.9826,chat-short
